nll_0,nll_1,nll_2,nll_3
-3.969101667404175,-4.087220191955566,-3.573293924331665,-3.689809799194336
-3.6107211112976074,-3.3762660026550293,-3.181885242462158,-3.160266399383545
-3.109300136566162,-3.2756991386413574,-3.045076608657837,-3.759890556335449
-3.340763568878174,-3.956707239151001,-3.269564151763916,-3.517110824584961
-3.017928123474121,-2.975834608078003,-2.7778801918029785,-2.970201015472412
-3.295196771621704,-3.203923225402832,-2.998640298843384,-3.371304512023926
-2.496821880340576,-2.5298404693603516,-2.6865789890289307,-2.9778337478637695
-4.802765846252441,-4.5738139152526855,-4.217489242553711,-4.065262794494629
-3.703489065170288,-3.3492674827575684,-3.1454966068267822,-4.518867015838623
-3.5564193725585938,-3.4208145141601562,-3.422109365463257,-3.675410032272339
-3.6140336990356445,-3.4667887687683105,-4.026615619659424,-3.41879940032959
-3.2979509830474854,-3.6431424617767334,-3.642559289932251,-3.700977087020874
-3.5803959369659424,-3.2933578491210938,-3.521883249282837,-3.415714740753174
-4.170727252960205,-3.855915069580078,-3.584115505218506,-3.5199520587921143
-3.6008965969085693,-3.9109673500061035,-3.867011070251465,-3.723003387451172
-4.029516220092773,-3.5682778358459473,-3.6576569080352783,-3.6680715084075928
-3.1621665954589844,-3.050163507461548,-3.185816526412964,-3.015514850616455
-3.3309431076049805,-3.4503371715545654,-3.2121753692626953,-3.290067195892334
-3.273831844329834,-3.437542200088501,-3.60465669631958,-3.5250792503356934
-3.4247021675109863,-3.5008671283721924,-3.6198785305023193,-3.571807861328125
-3.430100440979004,-3.8013737201690674,-3.6616299152374268,-3.3354580402374268
-2.618368148803711,-3.273798942565918,-3.3878347873687744,-2.610930919647217
-4.868136882781982,-5.212399005889893,-4.347975254058838,-4.431097984313965
-3.4185309410095215,-3.8020474910736084,-3.746058225631714,-3.49312424659729
-3.813321352005005,-4.00765323638916,-3.848013401031494,-3.8281869888305664
-3.914341926574707,-3.620356321334839,-3.6937344074249268,-3.722606897354126
-4.171815395355225,-4.301269054412842,-4.415145397186279,-4.197287559509277
-3.2714037895202637,-3.6825432777404785,-3.7259058952331543,-3.4229421615600586
-3.1509153842926025,-3.196406602859497,-3.6086549758911133,-3.336520195007324
-3.874969482421875,-4.000283718109131,-3.890970468521118,-3.530510663986206
-3.8049397468566895,-3.8585381507873535,-3.7308456897735596,-3.585151433944702
-3.2263693809509277,-3.4928572177886963,-3.5917532444000244,-3.4654483795166016
-3.3575329780578613,-3.0003859996795654,-3.3438615798950195,-3.357820510864258
-3.1851446628570557,-3.286524534225464,-3.5014564990997314,-3.7652761936187744
-3.3061165809631348,-3.028498411178589,-3.702802896499634,-3.280411720275879
-3.4345061779022217,-3.593479871749878,-3.449017286300659,-3.786628484725952
-3.8603315353393555,-3.744025230407715,-3.670553207397461,-3.373563289642334
-4.306082725524902,-4.404571533203125,-3.6043546199798584,-3.9240903854370117
-3.7933032512664795,-3.5654826164245605,-3.278217315673828,-3.331348419189453
-4.4406232833862305,-3.209434986114502,-3.6981680393218994,-3.609936237335205
-3.3721964359283447,-3.660022735595703,-3.562072515487671,-3.8005363941192627
-3.1999666690826416,-4.018331050872803,-3.015594720840454,-3.2209529876708984
-3.112220048904419,-3.754098892211914,-3.2649900913238525,-2.9311258792877197
-3.7323925495147705,-3.703831195831299,-3.2752275466918945,-3.61517596244812
-3.977285861968994,-4.01469087600708,-4.2136616706848145,-4.26645040512085
-3.3666608333587646,-3.8702054023742676,-4.664368152618408,-4.370471954345703
-2.5250301361083984,-2.693852186203003,-2.885974168777466,-3.332925319671631
-3.2215540409088135,-3.0071122646331787,-3.700014114379883,-3.427157163619995
-3.194711446762085,-3.4026906490325928,-2.8608226776123047,-3.254629611968994
-4.535367012023926,-4.23892068862915,-3.5045554637908936,-4.287356853485107
-4.154877662658691,-4.330606460571289,-4.530017852783203,-4.215775012969971
-4.289987087249756,-3.882624864578247,-3.5278232097625732,-3.9154067039489746
-3.5255610942840576,-2.9965107440948486,-3.0611228942871094,-3.14509654045105
-3.344214916229248,-3.316389799118042,-3.8103103637695312,-3.274904489517212
-3.2032768726348877,-3.1322786808013916,-3.0274832248687744,-3.2925355434417725
-3.4215855598449707,-3.498659610748291,-4.119141578674316,-3.858044147491455
-3.4543557167053223,-3.550579309463501,-3.2642288208007812,-3.383168935775757
-4.654505252838135,-4.392326354980469,-4.605412006378174,-4.060784339904785
-3.819833993911743,-4.013484954833984,-3.931605577468872,-3.7560718059539795
-4.8009033203125,-4.503196716308594,-4.370608329772949,-4.246899127960205
-3.9218454360961914,-3.6520791053771973,-3.0869059562683105,-4.255777835845947
-3.5781970024108887,-3.038942337036133,-3.2660017013549805,-2.791653871536255
-3.3721160888671875,-3.4236862659454346,-3.2738754749298096,-3.2164132595062256
-3.646045684814453,-3.403230667114258,-3.200352668762207,-3.1562864780426025
-4.069479942321777,-4.060519695281982,-3.840583562850952,-3.9063522815704346
-3.65203857421875,-3.512647867202759,-3.5063793659210205,-3.674548625946045
-3.676234483718872,-3.8559763431549072,-4.3136701583862305,-4.648387432098389
-3.6390738487243652,-3.783026933670044,-3.745291233062744,-3.5007240772247314
-3.910571336746216,-3.745335578918457,-4.190586090087891,-4.580667018890381
-3.810955047607422,-3.7171359062194824,-4.25907039642334,-3.669005870819092
-3.252305030822754,-3.6618950366973877,-3.559231758117676,-3.186742067337036
-3.370818614959717,-3.633532762527466,-3.6140809059143066,-3.182821273803711
-3.6735057830810547,-3.830030679702759,-3.620880126953125,-3.0083608627319336
-3.964344024658203,-3.7255852222442627,-3.7417638301849365,-3.8230836391448975
-3.419879198074341,-3.4321396350860596,-3.2689552307128906,-3.115168571472168
-3.3451499938964844,-3.58367657661438,-3.638198137283325,-3.455185890197754
-3.3699474334716797,-3.441941022872925,-3.5480918884277344,-3.0300137996673584
-2.903071403503418,-3.4002742767333984,-2.8708276748657227,-3.0736348628997803
-4.9727959632873535,-4.79281759262085,-3.959232807159424,-4.629945278167725
-3.3850855827331543,-3.440948009490967,-3.547468423843384,-3.519547939300537
-3.1191320419311523,-3.2222392559051514,-3.2903544902801514,-3.2475478649139404
-3.3988027572631836,-3.436551570892334,-3.4402318000793457,-3.3510959148406982
-3.177997350692749,-3.534541606903076,-3.5645554065704346,-3.441823720932007
-3.061896324157715,-3.0779869556427,-3.4634125232696533,-2.9628078937530518
-3.342491388320923,-3.383445978164673,-2.871159791946411,-3.629826068878174
-3.1105823516845703,-3.2950072288513184,-3.389991521835327,-3.3648784160614014
-3.238100051879883,-3.2150001525878906,-3.2977678775787354,-3.4784553050994873
-2.5050065517425537,-2.4609944820404053,-2.6387901306152344,-2.728508949279785
-3.8833794593811035,-4.237123966217041,-3.5592691898345947,-3.9838509559631348
-3.0474541187286377,-3.2152597904205322,-2.9938151836395264,-3.0121302604675293
-3.6166152954101562,-3.501128673553467,-3.3524329662323,-3.68967342376709
-3.83050274848938,-3.3769402503967285,-3.7049736976623535,-3.2811086177825928
-4.223448753356934,-3.824974298477173,-3.8629937171936035,-4.081815719604492
-3.482455253601074,-3.890700578689575,-3.459383487701416,-3.5366923809051514
-3.9090962409973145,-3.258626937866211,-3.6132500171661377,-3.8827052116394043
-3.302025079727173,-3.273996591567993,-2.9747698307037354,-3.513957977294922
-4.0108323097229,-3.629716634750366,-4.116797924041748,-3.5188205242156982
-3.663127899169922,-3.807807683944702,-3.358299493789673,-3.417215585708618
-3.6469666957855225,-3.7250704765319824,-3.6031856536865234,-3.8454294204711914
-3.8239850997924805,-4.029088973999023,-3.561290740966797,-3.5973236560821533
-4.185091972351074,-3.944581985473633,-4.5506134033203125,-4.65925931930542
-4.1102519035339355,-3.5657715797424316,-3.976750612258911,-4.132542610168457
-3.2630603313446045,-3.111325740814209,-3.563931703567505,-3.333162784576416
-3.071383237838745,-3.2291524410247803,-3.038884401321411,-2.9564099311828613
-4.354111671447754,-4.354734897613525,-4.312612056732178,-4.390454292297363
-5.325013637542725,-4.898951053619385,-4.655346870422363,-4.303163051605225
-4.334488391876221,-4.244906425476074,-3.9440953731536865,-4.514266490936279
-3.8759782314300537,-4.252828121185303,-3.9926154613494873,-4.076103210449219
-3.7776360511779785,-3.934803009033203,-3.4475293159484863,-4.041121959686279
-3.203399419784546,-3.0260069370269775,-3.3048980236053467,-3.443037509918213
-3.8509254455566406,-3.8378875255584717,-4.031960487365723,-4.01328706741333
-3.1400651931762695,-3.35005784034729,-3.0844647884368896,-3.103097915649414
-3.1507668495178223,-3.630227565765381,-3.092761993408203,-3.8257272243499756
-2.8855268955230713,-3.2272531986236572,-2.8950560092926025,-2.9164555072784424
-3.107245683670044,-3.8019561767578125,-3.560354709625244,-4.041950702667236
-3.1273083686828613,-3.0323355197906494,-3.076261520385742,-3.003221273422241
-3.0261199474334717,-2.813117265701294,-2.8370699882507324,-2.772597312927246
-2.944809913635254,-3.1530568599700928,-2.917964458465576,-2.8065643310546875
-2.9855780601501465,-3.0310781002044678,-3.1950018405914307,-2.925180673599243
-3.508756399154663,-3.623969316482544,-3.226215124130249,-3.852400541305542
-4.920413494110107,-4.696382522583008,-3.9590086936950684,-4.2455854415893555
-3.3682804107666016,-3.795337438583374,-3.5171117782592773,-3.3888542652130127
-4.01701545715332,-3.1259090900421143,-3.993650197982788,-4.016064167022705
-3.2235372066497803,-2.9589314460754395,-2.929650068283081,-2.9566733837127686
-3.6145179271698,-3.2627575397491455,-3.447742462158203,-3.277723789215088
-4.0855607986450195,-3.902972459793091,-4.188878536224365,-4.116367816925049
-3.761357545852661,-3.427609443664551,-4.062666893005371,-3.591560125350952
-3.332463264465332,-3.275995969772339,-3.5446245670318604,-3.4377458095550537
-3.3225674629211426,-2.9797792434692383,-2.8272650241851807,-3.013930559158325
-4.928528308868408,-4.041736125946045,-4.666093826293945,-4.338226795196533
-4.095166206359863,-3.884901285171509,-3.5963923931121826,-3.532336950302124
-3.0137720108032227,-2.9939095973968506,-3.5235438346862793,-2.6910438537597656
-2.917264461517334,-3.7341835498809814,-3.300673007965088,-3.2303154468536377
-3.9985485076904297,-3.3495163917541504,-4.049169540405273,-4.068485260009766
-4.0574822425842285,-3.656583309173584,-3.2798943519592285,-3.6309728622436523
-4.149291038513184,-3.8610408306121826,-5.209834098815918,-4.8911027908325195
-3.5701539516448975,-3.5445048809051514,-3.6229283809661865,-3.5366780757904053
-3.5882999897003174,-3.9565296173095703,-3.8439254760742188,-3.7356464862823486
