nll_0,nll_1,nll_2,nll_3
-3.9076144695281982,-4.192835807800293,-3.3334412574768066,-3.6202621459960938
-3.877037525177002,-3.5413763523101807,-3.3295509815216064,-3.3258087635040283
-3.158787965774536,-3.4016075134277344,-3.1582326889038086,-3.9558510780334473
-3.3621606826782227,-4.016162395477295,-3.400078058242798,-4.047619342803955
-2.830120801925659,-2.7468461990356445,-2.7124924659729004,-2.8695054054260254
-3.1885149478912354,-3.0633885860443115,-2.828150987625122,-3.271336078643799
-2.4201512336730957,-2.3543593883514404,-2.5569112300872803,-2.8090858459472656
-4.761547088623047,-4.418582439422607,-4.216756343841553,-4.207211017608643
-3.536902904510498,-3.245619058609009,-3.0638933181762695,-4.159714698791504
-3.6085238456726074,-3.505103588104248,-3.472364902496338,-3.797304153442383
-3.483297824859619,-3.3652353286743164,-3.9340996742248535,-3.1763312816619873
-3.282503604888916,-3.5100860595703125,-3.671489715576172,-3.690737247467041
-3.544970989227295,-3.190067768096924,-3.3034117221832275,-3.368255376815796
-4.227728366851807,-3.8796098232269287,-3.5739331245422363,-3.527198076248169
-3.180525541305542,-3.51090407371521,-3.4339802265167236,-3.285672903060913
-3.897418260574341,-3.248870849609375,-3.422027826309204,-3.3513638973236084
-3.075364589691162,-3.0474135875701904,-2.925036907196045,-2.9744791984558105
-3.18827486038208,-3.57304048538208,-3.2444865703582764,-3.321901798248291
-3.272977828979492,-3.2411751747131348,-3.383662462234497,-3.4250564575195312
-3.2218875885009766,-3.158193826675415,-3.245079755783081,-3.341062545776367
-3.250311851501465,-3.4904868602752686,-3.5219414234161377,-3.2365708351135254
-2.628247022628784,-3.2837228775024414,-3.3561289310455322,-2.6313860416412354
-4.763565540313721,-5.338906764984131,-4.689828872680664,-4.114552974700928
-3.1651830673217773,-3.5136539936065674,-3.4201767444610596,-3.1975231170654297
-3.587317705154419,-3.964620590209961,-3.6782166957855225,-3.984031915664673
-3.855229139328003,-3.5321993827819824,-3.6678202152252197,-3.5756237506866455
-3.8196420669555664,-4.167759895324707,-4.100818157196045,-3.9863030910491943
-3.1982533931732178,-3.9607901573181152,-3.7806735038757324,-3.2902138233184814
