nll_0,nll_1,nll_2,nll_3
-3.703512668609619,-3.94419527053833,-3.486826181411743,-3.3615524768829346
-3.7310194969177246,-3.272081136703491,-3.2235536575317383,-2.871567964553833
-3.234590768814087,-3.435669183731079,-3.0311005115509033,-3.990023612976074
-3.839589834213257,-4.626529693603516,-3.6212029457092285,-4.214306354522705
-2.920214891433716,-2.744866371154785,-2.700441837310791,-2.758254051208496
-3.5863070487976074,-3.020138740539551,-3.0643203258514404,-3.5348451137542725
-2.5485682487487793,-2.3115618228912354,-2.439359188079834,-3.0894200801849365
-4.5023512840271,-4.4882307052612305,-4.190576553344727,-4.2229905128479
-3.948906421661377,-2.853571891784668,-2.856374502182007,-4.032080173492432
-3.415719747543335,-3.232771873474121,-3.498830795288086,-3.6735422611236572
-3.1286098957061768,-3.193812608718872,-3.430962085723877,-2.624380588531494
-3.142167091369629,-3.334179401397705,-3.3225975036621094,-3.4277002811431885
-3.598048210144043,-3.0603857040405273,-3.1098413467407227,-3.2654213905334473
-4.074943542480469,-3.6931517124176025,-3.2219748497009277,-3.305030345916748
-3.3833189010620117,-3.8929922580718994,-3.689178466796875,-3.7618229389190674
-4.168386459350586,-3.3107433319091797,-3.5020205974578857,-3.2319388389587402
-3.42557430267334,-3.4076144695281982,-3.037579298019409,-3.3615589141845703
-2.7558364868164062,-3.2465600967407227,-3.1806886196136475,-3.1657485961914062
-2.973078489303589,-2.8273043632507324,-3.1135284900665283,-3.361846923828125
-3.097360849380493,-2.854956865310669,-3.131624460220337,-3.190276861190796
-3.073723077774048,-3.203213691711426,-3.427821636199951,-3.1811625957489014
-2.328807830810547,-3.0338337421417236,-3.440459966659546,-2.705414295196533
-4.564670085906982,-5.181416034698486,-4.394537448883057,-3.904057025909424
-3.1215193271636963,-3.6447908878326416,-3.5597519874572754,-3.1858372688293457
-3.3794445991516113,-4.098783493041992,-3.737781286239624,-4.006000995635986
-3.939819812774658,-3.35713529586792,-3.5675089359283447,-3.4529001712799072
-3.208914279937744,-3.970045328140259,-3.8456976413726807,-3.708056688308716
-3.532074213027954,-3.757899284362793,-4.17255163192749,-3.0536954402923584
-3.10237979888916,-2.9148786067962646,-3.2885100841522217,-3.131850242614746
-3.741983652114868,-3.7969107627868652,-3.7545485496520996,-3.403754711151123
-3.3958935737609863,-3.456082820892334,-3.3531947135925293,-3.2221992015838623
-2.6938090324401855,-3.272700309753418,-3.3973939418792725,-3.182513952255249
-3.2311782836914062,-2.748096227645874,-3.2749390602111816,-3.2372586727142334
-3.224208354949951,-3.1445324420928955,-3.0710031986236572,-3.5165317058563232
-2.8188486099243164,-2.877683162689209,-3.34305477142334,-3.111844301223755
-3.081982374191284,-3.459519147872925,-3.342792272567749,-3.721147298812866
-3.6692087650299072,-3.3989815711975098,-3.4799256324768066,-3.097353458404541
-4.3521904945373535,-4.379253387451172,-3.016317844390869,-3.8828160762786865
-3.6938695907592773,-3.4555702209472656,-3.2142438888549805,-3.3709418773651123
-3.829603433609009,-2.7247273921966553,-3.287496566772461,-3.1862263679504395
-3.4822609424591064,-3.670170783996582,-3.4491918087005615,-3.7819011211395264
-3.5085716247558594,-4.610363483428955,-3.1573469638824463,-3.3218865394592285
-3.226560354232788,-4.059237480163574,-3.360466241836548,-2.8638112545013428
-3.2876384258270264,-3.5343520641326904,-2.9269909858703613,-3.3795464038848877
-3.5443975925445557,-3.865346908569336,-4.1648783683776855,-3.999519109725952
-3.0080337524414062,-3.9146628379821777,-4.728471279144287,-4.353314399719238
-2.4464805126190186,-2.758403778076172,-3.0192275047302246,-3.4100873470306396
-2.9095897674560547,-2.9540863037109375,-3.6731081008911133,-3.4444336891174316
-2.585498332977295,-3.045964241027832,-2.3340704441070557,-2.694033622741699
-4.7707929611206055,-4.4388108253479,-3.2912731170654297,-4.626943588256836
-4.301636695861816,-4.315913677215576,-4.2263288497924805,-4.389083385467529
-4.2492756843566895,-3.8870835304260254,-3.3857944011688232,-4.215208530426025
-3.0927929878234863,-2.450329542160034,-2.4991822242736816,-2.8785743713378906
-3.3680222034454346,-3.4360241889953613,-3.8944928646087646,-3.229591131210327
-3.555537462234497,-3.17002010345459,-3.1642677783966064,-3.4447858333587646
-3.64806866645813,-3.473811149597168,-3.9986910820007324,-3.801730155944824
-3.543332576751709,-3.505051612854004,-3.097372055053711,-3.555807113647461
-3.7100837230682373,-3.1356027126312256,-3.6069023609161377,-3.573211431503296
-2.923107385635376,-3.2357542514801025,-3.111571788787842,-2.940993070602417
-4.36087703704834,-3.907945156097412,-3.692423105239868,-3.7986831665039062
-4.167036056518555,-3.535655975341797,-3.3327383995056152,-4.699839115142822
-3.3373539447784424,-2.470858097076416,-3.029310941696167,-2.508772134780884
-3.298475742340088,-3.2882587909698486,-3.0159971714019775,-3.1952977180480957
-3.43650484085083,-2.9373116493225098,-2.9374005794525146,-2.9118869304656982
-3.9028232097625732,-3.8734207153320312,-3.6412510871887207,-3.561522960662842
-3.337965488433838,-3.37610125541687,-3.1432411670684814,-3.4879744052886963
-2.827486515045166,-2.9881644248962402,-3.5482265949249268,-4.0724382400512695
-3.045689344406128,-2.9035651683807373,-3.371141195297241,-3.234297513961792
-3.524784803390503,-3.7561731338500977,-4.315962314605713,-4.589026927947998
-3.3428757190704346,-3.5848867893218994,-4.009788990020752,-3.7420883178710938
-2.9646711349487305,-3.47127628326416,-3.0157766342163086,-3.064044713973999
-2.8996081352233887,-3.500246524810791,-3.2626547813415527,-2.9946744441986084
-3.6841232776641846,-3.9784553050994873,-3.4611728191375732,-2.816239833831787
-3.9380743503570557,-3.4948792457580566,-3.9207892417907715,-3.925083875656128
-3.1064789295196533,-3.2552013397216797,-2.9350576400756836,-2.7490921020507812
-2.9865081310272217,-3.4291365146636963,-2.9303672313690186,-3.177183151245117
-2.9738612174987793,-3.0316245555877686,-3.0683977603912354,-2.2700130939483643
-2.590742588043213,-3.1476266384124756,-2.151916265487671,-2.8500967025756836
-4.47667932510376,-4.490865230560303,-3.3481764793395996,-4.2906494140625
-2.7569186687469482,-3.020016670227051,-3.0828754901885986,-3.2021536827087402
-2.497833251953125,-2.476980447769165,-2.672989845275879,-2.571014642715454
-2.979339361190796,-2.9175186157226562,-3.0984108448028564,-2.615626811981201
-2.634308099746704,-3.2346081733703613,-3.3872570991516113,-3.3120901584625244
-2.6597037315368652,-2.640679359436035,-3.2772555351257324,-2.6724140644073486
-3.0875184535980225,-3.257275104522705,-3.075915575027466,-3.605905532836914
-3.096916437149048,-3.049243450164795,-3.2593636512756348,-3.2144079208374023
-3.188305377960205,-2.9363481998443604,-3.134111166000366,-3.401002883911133
-2.396230936050415,-2.5770294666290283,-2.6009953022003174,-2.691051959991455
-3.5618481636047363,-3.7298367023468018,-3.018259286880493,-3.6367526054382324
-3.3584179878234863,-3.3797576427459717,-3.0459089279174805,-3.126349449157715
-3.3958938121795654,-3.1374154090881348,-3.0282998085021973,-3.481550455093384
