nll_0,nll_1,nll_2,nll_3
-3.856442928314209,-4.144136905670166,-3.6149137020111084,-3.7811176776885986
-3.6043078899383545,-3.2662007808685303,-3.0972888469696045,-3.327643394470215
-3.1977343559265137,-3.4280946254730225,-3.0818841457366943,-3.747711181640625
-3.805238723754883,-4.170812606811523,-3.3248987197875977,-3.7703945636749268
-2.947848081588745,-2.948105573654175,-2.9195823669433594,-3.047929525375366
-3.3817191123962402,-3.1872854232788086,-3.1424717903137207,-3.581434488296509
-2.7111220359802246,-2.7986414432525635,-3.026153802871704,-3.165034294128418
-5.11366605758667,-4.648196220397949,-4.360379695892334,-4.152355670928955
-3.8699135780334473,-3.500422477722168,-3.4203555583953857,-4.69458532333374
-3.410468816757202,-3.3514761924743652,-3.38337779045105,-3.6220052242279053
-3.427889347076416,-3.411405324935913,-3.9039242267608643,-3.2975962162017822
-3.5256752967834473,-3.5519518852233887,-3.822230100631714,-3.7371954917907715
-3.3929436206817627,-3.3513169288635254,-3.319526433944702,-3.386348247528076
-3.8923721313476562,-3.771989345550537,-3.3800461292266846,-3.217545509338379
-3.441133737564087,-3.7929835319519043,-3.8785033226013184,-3.767167329788208
-4.136763095855713,-3.715331554412842,-3.8199808597564697,-3.7697670459747314
-3.1445841789245605,-3.0387141704559326,-3.1508305072784424,-3.095529079437256
-3.7184882164001465,-3.7608015537261963,-3.4158685207366943,-3.610628604888916
-3.561051845550537,-3.7356936931610107,-3.671046257019043,-3.850886344909668
-3.694714307785034,-3.7868764400482178,-3.6301136016845703,-3.772089958190918
-3.4911088943481445,-3.7653892040252686,-3.660759925842285,-3.3375844955444336
-2.9832115173339844,-3.650631904602051,-3.7300400733947754,-2.948446750640869
-4.622904300689697,-5.088018894195557,-4.390995025634766,-4.3125505447387695
-3.3829305171966553,-3.7502644062042236,-3.5389091968536377,-3.4584248065948486
-3.7608821392059326,-3.823108434677124,-3.775888681411743,-3.8713386058807373
-3.9854843616485596,-3.6516213417053223,-3.7064030170440674,-3.7182047367095947
-4.598108291625977,-4.722716331481934,-4.522984981536865,-4.6780781745910645
-3.3594579696655273,-3.712437152862549,-3.589118480682373,-3.44218373298645
-3.23140025138855,-3.125124931335449,-3.5670316219329834,-3.3665452003479004
-3.6580283641815186,-3.6271908283233643,-3.6176319122314453,-3.2632577419281006
-3.533879280090332,-3.5489048957824707,-3.503495931625366,-3.375396728515625
-2.9130942821502686,-3.205035448074341,-3.341015338897705,-3.1400694847106934
-3.578972578048706,-3.2399282455444336,-3.6706738471984863,-3.593552827835083
-3.4544789791107178,-3.6436891555786133,-3.7058422565460205,-3.9784157276153564
-3.498136281967163,-3.2020764350891113,-3.8899104595184326,-3.478179693222046
-3.800738573074341,-3.820255756378174,-3.67142391204834,-3.999067783355713
-4.221283435821533,-3.99222731590271,-4.155966758728027,-3.5337460041046143
-4.494320392608643,-4.250909328460693,-3.5528435707092285,-3.857360363006592
-3.851773738861084,-3.760693311691284,-3.400094509124756,-3.470046043395996
-4.684825897216797,-3.676760196685791,-4.192676067352295,-3.8699538707733154
-3.448559045791626,-3.8487517833709717,-3.5589723587036133,-3.8627121448516846
-3.6213290691375732,-4.5710344314575195,-3.526981830596924,-3.949533700942993
-3.776780605316162,-4.443546295166016,-3.6483771800994873,-3.8001208305358887
-3.9893479347229004,-4.231751918792725,-3.6410305500030518,-4.117015838623047
-3.9498655796051025,-4.032978057861328,-4.382408142089844,-4.162047386169434
-3.713949680328369,-4.246239185333252,-5.044532299041748,-4.783556938171387
-2.4490549564361572,-2.480348587036133,-2.737980365753174,-3.1550745964050293
-3.380915403366089,-3.037276268005371,-3.6511621475219727,-3.497249126434326
-3.351876974105835,-3.790304183959961,-3.1873035430908203,-3.5235517024993896
-4.791275501251221,-4.641942024230957,-4.114346504211426,-4.527111053466797
-4.198642253875732,-4.379967212677002,-4.245914459228516,-4.218288421630859
-4.255813121795654,-4.170604705810547,-3.565208911895752,-4.033944606781006
-3.683471202850342,-3.215374231338501,-3.2520503997802734,-3.282742500305176
-3.4810235500335693,-3.547785758972168,-3.7273848056793213,-3.601349353790283
-3.4170262813568115,-3.494164228439331,-3.208247661590576,-3.2721147537231445
-3.805068254470825,-3.9475083351135254,-4.905266761779785,-4.390347957611084
-3.823546886444092,-3.925929307937622,-3.6816530227661133,-3.7337911128997803
-4.443953990936279,-4.010208606719971,-4.172658920288086,-3.7192955017089844
-3.5017786026000977,-3.6238138675689697,-3.550121784210205,-3.4118831157684326
-4.936150074005127,-4.4073920249938965,-4.3763957023620605,-4.4678802490234375
-3.8949267864227295,-3.6780991554260254,-3.265462636947632,-4.198155403137207
-3.6498546600341797,-3.2017412185668945,-3.377237319946289,-2.960785150527954
-3.5028743743896484,-3.5504446029663086,-3.341076612472534,-3.498102903366089
-3.728231191635132,-3.395951986312866,-3.2674741744995117,-3.294180154800415
-4.018208980560303,-4.064609050750732,-3.785062313079834,-3.8520328998565674
-3.4988179206848145,-3.514167547225952,-3.548614025115967,-3.564072847366333
-3.8708949089050293,-3.8731894493103027,-4.222287178039551,-4.724923610687256
-3.9089858531951904,-4.032351493835449,-3.934887409210205,-3.7264041900634766
-3.9511356353759766,-3.683724880218506,-4.138426303863525,-4.567422866821289
-3.830909013748169,-3.5826127529144287,-3.8906331062316895,-3.5732738971710205
-3.3615033626556396,-3.6516027450561523,-3.639674425125122,-3.2284157276153564
-3.1475064754486084,-3.455198049545288,-3.5331530570983887,-3.1084110736846924
-3.9905900955200195,-4.184751033782959,-3.945953369140625,-3.591104745864868
-3.990569829940796,-3.879309892654419,-3.7897186279296875,-4.035332202911377
-3.4329376220703125,-3.8340976238250732,-3.51169490814209,-3.298246145248413
-3.7854092121124268,-3.9825491905212402,-4.002929210662842,-3.7684671878814697
-3.554438352584839,-3.621461868286133,-3.7942678928375244,-3.2644777297973633
-3.1886086463928223,-3.595557928085327,-3.0623157024383545,-3.2101759910583496
-4.361091613769531,-4.672837734222412,-3.7938921451568604,-4.204570770263672
-3.2329769134521484,-3.2967865467071533,-3.435434579849243,-3.4812047481536865
-3.1444098949432373,-3.1971426010131836,-3.229011297225952,-3.2455756664276123
-3.512042999267578,-3.6396243572235107,-3.2513680458068848,-3.5609192848205566
-3.354174852371216,-3.7215793132781982,-3.649498224258423,-3.628432035446167
-3.0770065784454346,-3.151883602142334,-3.573179244995117,-2.930549383163452
