nll_0,nll_1,nll_2,nll_3
-3.4453911781311035,-3.7402663230895996,-3.075345039367676,-3.1676886081695557
-3.6659865379333496,-3.229039430618286,-3.0477893352508545,-2.958477020263672
-3.0910041332244873,-3.410392999649048,-3.1091818809509277,-3.848757743835449
-3.476283311843872,-4.025315284729004,-3.219438314437866,-3.6884288787841797
-2.8790245056152344,-2.7934393882751465,-2.7179019451141357,-2.837331771850586
-3.176861524581909,-3.038416862487793,-2.714836835861206,-3.1679296493530273
-2.5160322189331055,-2.3712241649627686,-2.663782835006714,-2.909714460372925
-4.922151565551758,-4.484893798828125,-4.17380428314209,-4.375148773193359
-3.4556033611297607,-2.9008963108062744,-2.940505027770996,-4.060812950134277
-3.438140630722046,-3.2623960971832275,-3.299164295196533,-3.5968873500823975
-3.2754669189453125,-3.3797779083251953,-3.7988393306732178,-3.1222095489501953
-3.133450746536255,-3.417809247970581,-3.297159194946289,-3.6146719455718994
-3.5639002323150635,-3.2540369033813477,-3.3877179622650146,-3.457146644592285
-4.1107378005981445,-3.9043080806732178,-3.483978033065796,-3.457314968109131
-3.4126973152160645,-3.7604129314422607,-3.6375513076782227,-3.6226837635040283
-3.8504180908203125,-3.0289602279663086,-3.2658281326293945,-3.072458028793335
-3.11232852935791,-2.9494786262512207,-2.8871209621429443,-2.9303364753723145
-3.2356958389282227,-3.4622933864593506,-3.0825421810150146,-3.266205310821533
-3.2674167156219482,-3.249288558959961,-3.445932626724243,-3.4157392978668213
-3.286888360977173,-3.2175259590148926,-3.3051719665527344,-3.4453368186950684
-2.9333722591400146,-3.161832571029663,-3.2572171688079834,-3.0413260459899902
-2.6232659816741943,-3.2378592491149902,-3.3578133583068848,-2.6471595764160156
-4.947380065917969,-5.279935836791992,-4.663891315460205,-4.298468589782715
-3.4469621181488037,-3.8392438888549805,-3.777559757232666,-3.46376371383667
-3.348543167114258,-3.701876640319824,-3.5831446647644043,-3.949040412902832
-3.7977137565612793,-3.3532228469848633,-3.4295895099639893,-3.382190465927124
-4.058748245239258,-4.241652011871338,-4.063858509063721,-3.968370199203491
-3.113677978515625,-3.5656347274780273,-3.6612613201141357,-3.0528690814971924
-2.9098873138427734,-2.8628077507019043,-3.2392942905426025,-2.9799485206604004
-3.827988624572754,-3.7902846336364746,-3.6942875385284424,-3.3232533931732178
-3.7011866569519043,-3.862666368484497,-3.6858763694763184,-3.458901882171631
-2.693892478942871,-3.0624866485595703,-3.1427667140960693,-2.942577838897705
-3.2316203117370605,-2.8307301998138428,-3.273279905319214,-3.263073205947876
-3.338881731033325,-3.2489609718322754,-3.336324453353882,-3.7782680988311768
-3.0972111225128174,-3.0842087268829346,-3.586085557937622,-3.063101053237915
-3.3750243186950684,-3.6304593086242676,-3.4175941944122314,-3.7539353370666504
-3.6107747554779053,-3.3669161796569824,-3.617645740509033,-3.0582103729248047
-3.675837755203247,-3.8286080360412598,-2.9274814128875732,-3.3562018871307373
-3.3522605895996094,-3.2580902576446533,-3.016774892807007,-3.085742950439453
-3.9188950061798096,-2.9806675910949707,-3.470830202102661,-3.2326221466064453
-3.4236557483673096,-3.7883009910583496,-3.5483579635620117,-3.955355167388916
-3.08241605758667,-4.383014678955078,-2.905268907546997,-3.1492714881896973
-3.20316743850708,-3.9153034687042236,-3.3209636211395264,-3.0274546146392822
-3.6893749237060547,-3.9310193061828613,-3.4234488010406494,-3.731238842010498
-3.725435256958008,-3.8833093643188477,-4.294616222381592,-4.102959632873535
-3.3578736782073975,-4.030881881713867,-4.75166130065918,-4.275469779968262
-2.3668577671051025,-2.605154037475586,-2.744370937347412,-3.3150761127471924
-3.1018307209014893,-3.0218987464904785,-3.672165632247925,-3.440195322036743
-2.6687450408935547,-3.00303316116333,-2.4688119888305664,-2.769379138946533
-4.795406818389893,-4.328630447387695,-3.4137730598449707,-4.499872207641602
-4.045920372009277,-4.057802677154541,-4.347216606140137,-4.2684736251831055
-4.335036754608154,-3.996151924133301,-3.6031861305236816,-4.304002285003662
-3.146153450012207,-2.597106456756592,-2.7301909923553467,-2.7474706172943115
-3.204411268234253,-3.2414257526397705,-3.6122143268585205,-3.2749791145324707
-3.3405892848968506,-3.3610892295837402,-3.124072313308716,-3.4765443801879883
-3.2927944660186768,-3.164217472076416,-3.830570697784424,-3.6498911380767822
-3.209017515182495,-3.1936423778533936,-2.9453587532043457,-3.2236859798431396
-4.080182075500488,-3.641702890396118,-4.12696647644043,-3.659972667694092
-3.284858226776123,-3.453101873397827,-3.419724464416504,-3.2168681621551514
-4.508213043212891,-4.373288631439209,-4.080932140350342,-4.057920455932617
-3.883819341659546,-3.4910714626312256,-3.051565647125244,-4.28772497177124
-3.333754777908325,-2.736799955368042,-3.0755088329315186,-2.465301990509033
-3.3054661750793457,-3.2482967376708984,-3.1626198291778564,-3.1382360458374023
-3.610426425933838,-3.3905510902404785,-3.314441680908203,-3.1810784339904785
-3.8772473335266113,-3.7307426929473877,-3.6072840690612793,-3.5371341705322266
-3.4106807708740234,-3.3250675201416016,-3.222383975982666,-3.3699817657470703
-3.0714454650878906,-3.042666435241699,-3.4937946796417236,-4.001672744750977
-3.348925828933716,-3.2991652488708496,-3.4167819023132324,-3.1769492626190186
-3.592190742492676,-3.5992019176483154,-3.918943166732788,-4.210990905761719
