nll_0,nll_1,nll_2,nll_3
-1.0636837,-1.0653902,-0.86228067,-0.93930244
-0.90696526,-0.82863486,-0.7797924,-0.7351553
-0.6968155,-0.7440234,-0.69689596,-0.8528833
-0.90913576,-1.2186075,-0.8508385,-0.9229766
-0.7546349,-0.7731471,-0.7169713,-0.82456964
-0.82566154,-0.80066884,-0.7444693,-0.8556183
-0.53462857,-0.5413383,-0.61883575,-0.6750996
-0.94968617,-0.8731005,-0.8364541,-0.8399437
-0.79020613,-0.65877813,-0.662043,-0.85647964
-0.69655347,-0.67059314,-0.6332403,-0.7169642
-0.7471765,-0.72290903,-0.81722814,-0.6853999
-0.76130897,-0.7803145,-0.82225823,-0.7952803
-0.7229673,-0.6698525,-0.70768666,-0.693441
-0.84747165,-0.769514,-0.6713462,-0.69907445
-0.8315333,-0.9377077,-0.8896031,-0.89878345
-0.9170562,-0.72939396,-0.69510245,-0.68568385
-0.65583736,-0.5945024,-0.5816753,-0.59091765
-0.67333245,-0.72711045,-0.6751865,-0.754566
-0.67157763,-0.66573495,-0.68690944,-0.69903195
-0.741864,-0.719083,-0.73374534,-0.73247784
-0.64930165,-0.70903605,-0.73171604,-0.69106364
-0.6843012,-0.82024693,-0.8362124,-0.6269346
-1.0656803,-0.9415371,-0.9633578,-0.8167107
-0.68972516,-0.7469704,-0.714412,-0.68264997
-0.8112944,-0.88044477,-0.8059678,-0.8611787
-0.8382459,-0.7479617,-0.81566817,-0.78100395
-0.8469776,-0.89968395,-0.8747756,-0.91104645
-0.626218,-0.66605633,-0.69949365,-0.54298645
-0.60282236,-0.5113769,-0.70326173,-0.5656664
-0.78234214,-0.73960894,-0.75460726,-0.6710102
-0.851511,-0.8776898,-0.846209,-0.75423634
-0.76306593,-0.82687813,-0.8313599,-0.79840076
-0.74081224,-0.66325814,-0.75132585,-0.7722046
-0.7946736,-0.9025411,-0.8756974,-0.91148084
-0.76118547,-0.75354075,-0.9014413,-0.7736473
-0.69833785,-0.7563573,-0.7774398,-0.7897164
-0.8890387,-0.8601973,-0.8838089,-0.73361987
-1.0438018,-1.148326,-0.7827486,-1.1178895
-0.836378,-0.7929015,-0.73973495,-0.74426436
-0.77212703,-0.59029394,-0.6895626,-0.6712333
-0.67676854,-0.7674853,-0.68031937,-0.8510213
-0.7266022,-0.93896097,-0.6695058,-0.7606545
-0.72030437,-0.912933,-0.74275446,-0.7256116
-0.83533406,-0.95129126,-0.7799314,-0.92605156
-0.74431926,-0.8080295,-0.8905493,-0.7981716
-0.69149214,-0.7417277,-0.82988006,-0.86959326
-0.5883877,-0.6126029,-0.65879744,-0.7240549
