nll_0,nll_1,nll_2,nll_3
-4.493841171264648,-5.391909599304199,-3.9508285522460938,-4.371921539306641
-5.337777614593506,-5.051781177520752,-4.5939202308654785,-5.01059103012085
-4.653168678283691,-4.459314823150635,-4.463716506958008,-4.920970916748047
-4.6193084716796875,-5.1984968185424805,-4.5893473625183105,-4.903491973876953
-4.094075679779053,-4.280939102172852,-3.9657487869262695,-4.280919075012207
-4.791316032409668,-4.684624671936035,-4.227856159210205,-4.7909650802612305
-3.427760601043701,-3.5417492389678955,-3.8004603385925293,-3.6835973262786865
-6.342232704162598,-5.566779613494873,-5.3925251960754395,-5.581139087677002
-4.497122764587402,-4.4821977615356445,-4.198701858520508,-5.484432220458984
-4.6676716804504395,-4.449868679046631,-4.322674751281738,-4.8355536460876465
-4.660267353057861,-4.387664318084717,-5.391746520996094,-4.451117038726807
-4.696730613708496,-4.70132303237915,-4.837524890899658,-4.9778971672058105
-4.991602420806885,-4.370514869689941,-4.617011547088623,-4.584576606750488
-5.539626598358154,-5.123383045196533,-4.905582904815674,-5.092623710632324
-5.123586177825928,-5.330034255981445,-5.47442626953125,-5.236727714538574
-6.424833297729492,-5.679809093475342,-5.7172017097473145,-5.657790184020996
-4.372575759887695,-4.183638572692871,-4.429095268249512,-4.162751197814941
-4.486461162567139,-5.1138105392456055,-4.37529993057251,-4.486749649047852
-4.229802131652832,-4.267576694488525,-4.462586879730225,-4.649091720581055
-4.5108137130737305,-4.628304481506348,-4.724535942077637,-4.68000602722168
-4.222446918487549,-4.735260486602783,-4.577561378479004,-4.297860145568848
-3.7707300186157227,-4.41519832611084,-4.287539958953857,-3.518758773803711
-6.99176549911499,-7.308653831481934,-6.549621105194092,-6.821699142456055
-5.069482326507568,-5.505937099456787,-5.414546012878418,-5.170389175415039
-4.8368611335754395,-4.873213291168213,-5.173501491546631,-4.955965042114258
-4.977962017059326,-4.6637067794799805,-4.673974514007568,-4.693440914154053
-5.826529502868652,-6.1126389503479,-6.067527770996094,-5.703910827636719
-4.469235897064209,-5.405519485473633,-5.459299564361572,-4.57756233215332
-4.235784530639648,-4.128071308135986,-4.510645866394043,-4.215237617492676
-4.64559268951416,-4.938215255737305,-4.799020290374756,-4.573336124420166
-5.6227006912231445,-5.812394142150879,-5.104903697967529,-5.37974214553833
-4.451728343963623,-4.230689525604248,-4.669693470001221,-4.527138710021973
-4.377319812774658,-4.037247657775879,-4.5995354652404785,-4.403018474578857
-5.02730655670166,-5.2195820808410645,-5.010909080505371,-5.6465067863464355
-4.557464122772217,-4.310932159423828,-5.113713264465332,-4.6411309242248535
-4.897005558013916,-5.005764961242676,-4.829221725463867,-5.330916404724121
-5.097517013549805,-4.711461067199707,-5.022756099700928,-4.206615447998047
-5.222322463989258,-5.38492488861084,-4.347167491912842,-4.888103008270264
-4.845221042633057,-4.665964603424072,-4.215969085693359,-4.396639823913574
-6.050023555755615,-4.847339153289795,-5.1956095695495605,-4.84999942779541
-4.123272895812988,-4.770136833190918,-4.327016353607178,-4.576380252838135
-4.6859965324401855,-5.7461419105529785,-4.206887245178223,-4.997945308685303
-4.553903102874756,-5.3289079666137695,-4.579010009765625,-4.633855819702148
-4.978218078613281,-5.131476402282715,-4.509617328643799,-4.400992393493652
-5.328707218170166,-5.456263542175293,-5.703018665313721,-5.662347316741943
-4.3943281173706055,-4.968361854553223,-5.683005332946777,-5.365400314331055
-3.1368696689605713,-3.255930185317993,-3.3830809593200684,-4.569669723510742
-4.097545623779297,-3.8951668739318848,-4.7006916999816895,-4.418092250823975
-3.9749631881713867,-4.333082675933838,-3.723970651626587,-4.2085490226745605
-5.9438700675964355,-5.676875591278076,-4.834980487823486,-5.768557071685791
-5.067141532897949,-5.27219820022583,-5.521891117095947,-5.024314880371094
-4.810110569000244,-4.774824142456055,-4.344435214996338,-5.052333831787109
-4.519138813018799,-3.918867826461792,-3.8669466972351074,-3.798112630844116
-5.647500991821289,-5.3527092933654785,-5.659052848815918,-5.412177085876465
-5.054534435272217,-5.266116142272949,-4.783344745635986,-5.276809215545654
-4.448981761932373,-4.506147384643555,-5.4191436767578125,-4.984618186950684
-4.500297546386719,-4.456995010375977,-4.145795822143555,-4.426412582397461
-5.354706287384033,-4.9918622970581055,-5.144055366516113,-4.955018043518066
-4.43450927734375,-4.562704086303711,-4.384105682373047,-4.337223052978516
-6.154524803161621,-5.566886901855469,-5.1995744705200195,-5.298459529876709
-5.215423107147217,-4.866147994995117,-4.014214992523193,-5.413346767425537
-4.821922302246094,-4.238295078277588,-4.517245292663574,-3.771681308746338
-5.07275915145874,-5.427855491638184,-5.238572597503662,-5.0557732582092285
-5.345996379852295,-5.10144567489624,-4.628355026245117,-4.908236980438232
-5.434904098510742,-5.285704135894775,-5.171914100646973,-5.210686206817627
-4.702266216278076,-4.826426029205322,-4.730555534362793,-4.7673020362854
-4.84750509262085,-5.5212931632995605,-5.242848873138428,-6.367677688598633
-5.054351329803467,-5.167504787445068,-4.888192176818848,-4.891081809997559
-5.422903537750244,-5.244767665863037,-5.634620189666748,-6.167851448059082
-5.305110454559326,-4.772397518157959,-5.568221092224121,-4.827499866485596
-4.489756107330322,-4.911848545074463,-4.785153388977051,-4.329460144042969
-4.705837249755859,-5.217531681060791,-5.307191848754883,-4.92650032043457
-4.561848163604736,-4.78430700302124,-4.510730743408203,-4.290564060211182
-4.732230186462402,-4.5193634033203125,-4.133218288421631,-4.750261306762695
-4.710686683654785,-4.593498229980469,-4.475887775421143,-4.189381122589111
-4.849257469177246,-4.787240505218506,-5.079844951629639,-4.842525959014893
-4.698769569396973,-4.499974250793457,-4.6067728996276855,-3.9497976303100586
-3.5684361457824707,-4.182878494262695,-3.481499195098877,-3.6894595623016357
-5.17816686630249,-5.563553810119629,-4.65980863571167,-5.033506393432617
-4.029396057128906,-3.9596166610717773,-4.1670098304748535,-4.173366069793701
-3.766359567642212,-3.8087639808654785,-4.066306114196777,-4.062682151794434
-4.901880264282227,-5.388981819152832,-5.345466136932373,-4.738772392272949
-4.558583736419678,-4.470673084259033,-5.022867202758789,-5.034049987792969
-4.276042938232422,-4.212429046630859,-4.59918737411499,-4.048346996307373
-5.2723469734191895,-5.36953067779541,-4.767603874206543,-5.84976863861084
-4.793128490447998,-4.853463649749756,-5.272143840789795,-5.306431770324707
-5.0199103355407715,-5.021524429321289,-5.07966947555542,-5.201141357421875
-3.7913548946380615,-3.6021766662597656,-3.9407808780670166,-3.9061360359191895
-5.134400367736816,-5.048025131225586,-4.303353309631348,-4.837246894836426
-4.1053690910339355,-4.385339736938477,-4.130469799041748,-4.048376083374023
-4.661935329437256,-4.4271240234375,-4.359036922454834,-4.5735578536987305
-5.33321475982666,-4.483774662017822,-4.702534198760986,-4.544409275054932
-5.908687114715576,-5.410129547119141,-5.6908698081970215,-5.532900810241699
-4.054709434509277,-4.495804786682129,-4.207696914672852,-4.074387550354004
-4.306744575500488,-3.912551164627075,-4.2719597816467285,-4.413946628570557
-3.936573028564453,-3.8712210655212402,-3.3393568992614746,-4.106722831726074
-4.87285852432251,-4.761965274810791,-4.97845983505249,-4.427236557006836
-4.520620346069336,-4.640414714813232,-4.3587870597839355,-4.143436431884766
-4.184698581695557,-4.632784843444824,-4.378869533538818,-4.69814395904541
-5.153596878051758,-5.497752666473389,-5.124547004699707,-5.013734340667725
-5.432699203491211,-5.224074363708496,-5.8564677238464355,-5.891818523406982
-5.090821743011475,-4.353793144226074,-4.766745090484619,-4.725463390350342
-4.305423259735107,-4.455882549285889,-4.763190746307373,-4.908402919769287
-4.483560562133789,-4.479545593261719,-4.324543476104736,-4.344078063964844
-5.479148864746094,-5.651894569396973,-5.600463390350342,-5.7660651206970215
-6.767651557922363,-6.242244243621826,-5.936824798583984,-5.699347496032715
-5.4089508056640625,-5.396453380584717,-5.028949737548828,-5.795213222503662
-5.470785617828369,-4.505843639373779,-5.215326309204102,-5.312588214874268
-5.27056884765625,-5.048821449279785,-4.693363189697266,-5.785472869873047
-4.3609161376953125,-4.180628299713135,-4.607404708862305,-4.606795310974121
-5.1842780113220215,-4.973291873931885,-5.3593549728393555,-4.9541192054748535
-4.752367973327637,-5.125006198883057,-4.370028972625732,-4.545461654663086
-5.913717269897461,-5.87614631652832,-5.345553398132324,-6.615015506744385
-5.274561882019043,-5.689626216888428,-4.9734206199646,-5.160101890563965
-5.089815616607666,-5.729681491851807,-5.089560508728027,-5.835329055786133
-5.036099433898926,-4.890514373779297,-4.854013442993164,-4.998469352722168
-4.587186813354492,-4.537415504455566,-4.726053237915039,-4.739161014556885
-4.2090020179748535,-4.387261390686035,-3.965142011642456,-4.126904010772705
