nll_0,nll_1,nll_2,nll_3
-4.482969284057617,-4.735796928405762,-3.602794885635376,-4.072678565979004
-3.882824182510376,-3.8066251277923584,-3.6359870433807373,-3.3943183422088623
-3.1553146839141846,-3.2921345233917236,-3.0981698036193848,-3.857797622680664
-3.7917065620422363,-4.434248924255371,-3.588606834411621,-3.7503788471221924
-3.0874671936035156,-3.096092462539673,-2.965660810470581,-3.1608753204345703
-3.709470748901367,-3.6184558868408203,-3.3074026107788086,-3.699467420578003
-2.881256103515625,-2.9321818351745605,-3.1316521167755127,-3.3036820888519287
-5.079328536987305,-4.711790561676025,-4.5781073570251465,-4.473134517669678
-3.7947728633880615,-3.3903050422668457,-3.328270435333252,-4.460938453674316
-3.6950631141662598,-3.6368415355682373,-3.5092403888702393,-3.8679065704345703
-3.7196590900421143,-3.583434820175171,-4.241514682769775,-3.439819574356079
-3.4465816020965576,-3.7705492973327637,-3.770371198654175,-3.772876024246216
-3.7039451599121094,-3.402588129043579,-3.552642345428467,-3.495617151260376
-4.627677917480469,-4.065539836883545,-3.783017158508301,-3.703249216079712
-3.9021027088165283,-4.213436603546143,-4.112114429473877,-3.9847168922424316
-4.566752910614014,-3.7877016067504883,-3.857257127761841,-3.8972997665405273
-3.573596954345703,-3.563589334487915,-3.4820282459259033,-3.488349676132202
-3.2491183280944824,-3.6123788356781006,-3.298203706741333,-3.493263006210327
-3.2364776134490967,-3.3060615062713623,-3.402676820755005,-3.670693874359131
-3.3726494312286377,-3.4326088428497314,-3.6061434745788574,-3.5920517444610596
-3.474919557571411,-3.769839286804199,-3.70595645904541,-3.4469385147094727
-3.3931167125701904,-4.001407623291016,-4.188655376434326,-3.366549253463745
-5.695973873138428,-5.940797328948975,-5.391631603240967,-4.960795879364014
-3.3232266902923584,-3.6750292778015137,-3.6768789291381836,-3.3953351974487305
-3.845139265060425,-3.991088390350342,-3.9102084636688232,-4.179738998413086
-4.067914009094238,-3.748619794845581,-3.765716791152954,-3.7196507453918457
-4.15278434753418,-4.5361104011535645,-4.424577713012695,-4.333353519439697
-3.219818115234375,-3.822556972503662,-3.9611315727233887,-3.2618579864501953
-3.210130453109741,-3.0495340824127197,-3.3033015727996826,-3.209526538848877
-3.7601983547210693,-4.081978797912598,-3.8738272190093994,-3.3405728340148926
-3.772120714187622,-3.8558084964752197,-3.6310276985168457,-3.5273184776306152
-3.5716774463653564,-3.977835178375244,-3.829819917678833,-3.634941577911377
-3.427306652069092,-3.1031432151794434,-3.5726404190063477,-3.466616630554199
-3.6902353763580322,-3.756744384765625,-4.052858829498291,-4.325388431549072
-3.488166570663452,-3.61820125579834,-4.211511611938477,-3.5979068279266357
-3.5400078296661377,-3.886784315109253,-3.6417429447174072,-4.115495681762695
-4.494635105133057,-4.381257057189941,-4.3528923988342285,-3.975135087966919
-3.8545243740081787,-4.254958152770996,-3.2712044715881348,-3.6125011444091797
-3.7227518558502197,-3.4697952270507812,-3.2710490226745605,-3.3554415702819824
-4.41856050491333,-3.2589304447174072,-3.9176251888275146,-3.577998399734497
-3.5929667949676514,-3.9848015308380127,-3.7799232006073,-4.143784046173096
-3.46718430519104,-4.358183860778809,-3.2433323860168457,-3.547653913497925
-3.7037389278411865,-4.647991180419922,-3.6519713401794434,-3.4527316093444824
-3.9022343158721924,-3.9487626552581787,-3.5317344665527344,-3.681699275970459
-3.9966320991516113,-4.104432106018066,-4.481295585632324,-4.351475715637207
-3.286911964416504,-3.7860119342803955,-4.661275863647461,-4.390801429748535
-2.614459276199341,-2.720817804336548,-2.952781915664673,-3.444324493408203
-3.3817861080169678,-3.2202651500701904,-3.9936683177948,-3.768728733062744
-2.9431164264678955,-3.3140764236450195,-2.719944715499878,-3.1246821880340576
-5.1467108726501465,-4.520166397094727,-3.7069664001464844,-4.667848587036133
-4.3625006675720215,-4.5368452072143555,-4.702980995178223,-4.519245624542236
-4.152401447296143,-3.9996674060821533,-3.5708115100860596,-4.239449501037598
-3.606191873550415,-3.1013877391815186,-3.158339262008667,-3.20400071144104
-3.845588445663452,-3.703345537185669,-4.233061790466309,-3.75754451751709
-3.5415329933166504,-3.599583387374878,-3.335202932357788,-3.641115188598633
-3.9421205520629883,-3.9350123405456543,-4.713061809539795,-4.292469024658203
-3.7291338443756104,-3.797706365585327,-3.5629444122314453,-3.9035959243774414
-4.7945237159729,-4.394996166229248,-4.755263805389404,-4.3199238777160645
-3.878943681716919,-4.052003860473633,-3.9293487071990967,-3.8148646354675293
-5.014840602874756,-4.851937770843506,-4.730933666229248,-4.726803779602051
-4.321097373962402,-4.0011677742004395,-3.357727289199829,-4.540577411651611
-3.725486993789673,-3.083597183227539,-3.3846490383148193,-2.906791925430298
-3.8880698680877686,-3.961803436279297,-3.8626623153686523,-3.9578869342803955
-3.972304582595825,-3.642427444458008,-3.471306800842285,-3.441504716873169
-4.674107551574707,-4.37325382232666,-4.2554240226745605,-4.274339199066162
-3.915450096130371,-3.8368167877197266,-3.8103370666503906,-3.810487985610962
-3.4749653339385986,-3.5746841430664062,-4.1181793212890625,-4.60910177230835
-3.6560685634613037,-3.6936466693878174,-3.827625274658203,-3.4279911518096924
-3.744767904281616,-3.618441343307495,-4.0406293869018555,-4.519140243530273
-3.861083984375,-3.7658610343933105,-4.24834680557251,-3.9222412109375
-3.326223611831665,-3.6600608825683594,-3.50534725189209,-3.1748807430267334
-3.7524466514587402,-4.311529636383057,-3.866488218307495,-3.712209939956665
-4.116678714752197,-4.141673564910889,-3.984790086746216,-3.3507611751556396
-4.764358043670654,-4.411018371582031,-4.399786949157715,-4.380519866943359
-3.416848659515381,-3.6832492351531982,-3.4234824180603027,-3.3262016773223877
-3.927248477935791,-3.9236624240875244,-3.843461036682129,-3.674346446990967
-3.519940137863159,-3.5128233432769775,-3.69010591506958,-3.049325942993164
-2.949390411376953,-3.362692356109619,-2.881808042526245,-3.0561180114746094
-5.013234615325928,-5.185488224029541,-4.144280910491943,-4.759047508239746
-3.400562047958374,-3.6485345363616943,-3.602222204208374,-3.795158863067627
-3.2699272632598877,-3.293390989303589,-3.3904685974121094,-3.260068416595459
-3.2414662837982178,-3.267810821533203,-3.2225680351257324,-3.204777956008911
-3.1089816093444824,-3.425119161605835,-3.637855052947998,-3.580040454864502
-2.8292040824890137,-2.8097829818725586,-3.3733112812042236,-2.8634886741638184
-3.7926762104034424,-3.9614100456237793,-3.3244919776916504,-4.097312927246094
-3.3203208446502686,-3.5643086433410645,-3.672508955001831,-3.845547914505005
-3.5491943359375,-3.357224225997925,-3.5398902893066406,-3.7032105922698975
-2.6116650104522705,-2.603973150253296,-2.7026889324188232,-2.799729585647583
-4.006284236907959,-4.242170333862305,-3.569971799850464,-3.991384267807007
-3.318390130996704,-3.3349201679229736,-3.059018611907959,-3.187652826309204
-3.662127733230591,-3.388016700744629,-3.4487709999084473,-3.6674630641937256
-4.684592247009277,-4.037840843200684,-3.9648795127868652,-3.749300479888916
-4.526298999786377,-4.181354999542236,-4.459921836853027,-4.351687431335449
-3.553879499435425,-3.9841549396514893,-3.679248571395874,-3.643688201904297
-4.049384593963623,-3.4317471981048584,-3.7604525089263916,-4.047159194946289
-3.5293068885803223,-3.4122314453125,-3.2141833305358887,-3.7746846675872803
-4.01132345199585,-3.8532795906066895,-4.1552534103393555,-3.8206615447998047
-3.777639389038086,-3.7914862632751465,-3.60952091217041,-3.4824953079223633
-3.5283734798431396,-3.514341354370117,-3.6755306720733643,-4.026216506958008
-4.190489768981934,-4.23380184173584,-3.9529166221618652,-3.8657054901123047
-3.9790773391723633,-3.707862138748169,-4.1860246658325195,-4.423892498016357
-4.531464099884033,-3.7914206981658936,-4.071166038513184,-4.474719524383545
-3.2165720462799072,-3.321552276611328,-3.677184581756592,-3.605243444442749
-3.3508336544036865,-3.425381898880005,-3.218325614929199,-3.209054470062256
-4.90349817276001,-4.711940288543701,-4.911314487457275,-4.824102401733398
-5.853663444519043,-5.294394016265869,-5.074466228485107,-4.736565113067627
-4.545740604400635,-4.420597553253174,-4.346461296081543,-4.743454456329346
-4.024533271789551,-4.25724458694458,-4.22612190246582,-4.04679536819458
-3.832284450531006,-3.88144588470459,-3.381199359893799,-4.101459503173828
-3.2725563049316406,-2.9965639114379883,-3.187798261642456,-3.441310405731201
-4.116696357727051,-3.858011484146118,-4.188096523284912,-4.0622687339782715
-3.607734203338623,-3.7690203189849854,-3.531404972076416,-3.6655161380767822
-3.668384313583374,-4.181990623474121,-3.74019455909729,-4.446465492248535
-3.374872922897339,-3.6654176712036133,-3.094627857208252,-3.188300848007202
-4.215375900268555,-4.831801414489746,-4.376827716827393,-5.157713890075684
-3.8675506114959717,-4.068179130554199,-3.7638444900512695,-4.044415473937988
-3.316812038421631,-2.8587143421173096,-3.162324905395508,-3.180893659591675
-3.075831651687622,-3.2992937564849854,-3.0465686321258545,-2.885753870010376
-3.214496374130249,-3.220313549041748,-3.363480567932129,-3.083300828933716
-3.6219098567962646,-3.74957537651062,-3.399212121963501,-3.951425552368164
-5.317472457885742,-4.8821001052856445,-4.520092010498047,-4.660881519317627
-3.564263343811035,-3.79687762260437,-3.5736818313598633,-3.48248553276062
-4.920957565307617,-3.9044644832611084,-4.8417887687683105,-5.147674083709717
-3.7278010845184326,-3.707359552383423,-3.506549119949341,-3.622342348098755
-4.062912940979004,-3.746267318725586,-3.972212314605713,-3.853450298309326
-4.557092666625977,-4.476100921630859,-4.736900329589844,-4.882469177246094
-3.96516489982605,-3.540936231613159,-4.07570743560791,-3.6451609134674072
-3.4368233680725098,-3.442657470703125,-3.650608777999878,-3.6345605850219727
-3.5524866580963135,-3.151078462600708,-2.818881034851074,-3.1550509929656982
-5.5633392333984375,-4.475761890411377,-5.073940753936768,-4.904665946960449
-4.2898688316345215,-3.9710798263549805,-4.005587100982666,-3.646815061569214
-3.1629538536071777,-3.2356066703796387,-3.668869972229004,-2.8602213859558105
-3.2830846309661865,-4.111391544342041,-3.773287296295166,-3.737931728363037
-4.449102878570557,-3.7332923412323,-4.504576206207275,-4.438449382781982
-4.4267354011535645,-3.92144775390625,-3.5080714225769043,-3.694504976272583
-4.264699459075928,-4.093434810638428,-5.416982650756836,-5.184433460235596
-3.8512487411499023,-3.8523471355438232,-3.7562038898468018,-3.717043399810791
-3.3694393634796143,-3.761176586151123,-3.8469321727752686,-3.676079511642456
-4.757499694824219,-4.873020648956299,-4.830178260803223,-4.425534725189209
-5.630635738372803,-5.772824764251709,-5.391578197479248,-6.172069072723389
-3.2613391876220703,-3.010230779647827,-3.373931646347046,-3.4453563690185547
-3.77839994430542,-3.5936803817749023,-3.476208448410034,-3.009322166442871
-3.7409090995788574,-3.4358670711517334,-4.3842620849609375,-4.270838737487793
-4.983563423156738,-4.2134552001953125,-4.86276912689209,-4.496689319610596
-4.455687046051025,-4.321634769439697,-4.301886558532715,-4.742298603057861
-3.830763339996338,-3.9857966899871826,-3.546778678894043,-3.8855841159820557
-4.14077615737915,-3.9549245834350586,-3.4379732608795166,-3.556849956512451
-3.2155582904815674,-3.153059482574463,-2.9261555671691895,-3.3982255458831787
