nll_0,nll_1,nll_2,nll_3
-3.439351797103882,-3.645106554031372,-2.9432690143585205,-3.0222902297973633
-2.95133900642395,-2.945621967315674,-2.703299045562744,-2.728520631790161
-2.606388568878174,-2.973792552947998,-2.6731131076812744,-3.4068832397460938
-3.57888126373291,-4.07566499710083,-2.9970858097076416,-3.455909252166748
-2.915266752243042,-2.952255964279175,-2.793961763381958,-2.9310874938964844
-3.099581480026245,-2.8855059146881104,-2.834338665008545,-3.28613543510437
-2.0247364044189453,-1.916575312614441,-2.159590005874634,-2.3365955352783203
-3.8915998935699463,-3.6752429008483887,-3.535712957382202,-3.424311399459839
-2.9567859172821045,-2.575683355331421,-2.5013835430145264,-3.1379849910736084
-3.163031578063965,-3.0152788162231445,-2.9693562984466553,-3.271613121032715
-3.1544277667999268,-3.088151216506958,-3.4302124977111816,-2.8196260929107666
-2.9644792079925537,-2.981776475906372,-3.0507190227508545,-2.948683738708496
-2.9216513633728027,-2.704723834991455,-2.7035579681396484,-2.643925905227661
-3.301530361175537,-3.2225568294525146,-2.7764437198638916,-2.8746228218078613
-3.2362871170043945,-3.8009872436523438,-3.6472926139831543,-3.4204440116882324
-3.5401272773742676,-3.091315984725952,-3.089615821838379,-3.1755239963531494
-2.628383159637451,-2.548978090286255,-2.488473892211914,-2.4347662925720215
-2.7013447284698486,-3.1312520503997803,-2.887836456298828,-3.0829386711120605
-2.789471387863159,-2.724111795425415,-2.7935962677001953,-3.0410068035125732
-2.8438515663146973,-2.7468626499176025,-2.8178551197052,-2.7421088218688965
-2.6580183506011963,-2.908559560775757,-2.883272886276245,-2.6254284381866455
-2.233482837677002,-2.936725616455078,-2.7854230403900146,-2.4293501377105713
-4.5243024826049805,-4.310984134674072,-4.068907260894775,-3.4021694660186768
-2.4571239948272705,-2.7253975868225098,-2.5596795082092285,-2.490537166595459
-3.32331919670105,-3.4793715476989746,-3.4136533737182617,-3.5587077140808105
-3.4945054054260254,-3.3638854026794434,-3.3201370239257812,-3.333238124847412
-3.2444353103637695,-3.7490415573120117,-3.5175046920776367,-3.4852805137634277
-2.753554344177246,-3.003851890563965,-3.1269242763519287,-2.716543197631836
-2.6190755367279053,-2.420125961303711,-2.7993083000183105,-2.743086814880371
-3.0702476501464844,-3.296344518661499,-3.171839475631714,-2.7807188034057617
-3.134556531906128,-3.2491652965545654,-3.1650166511535645,-3.12176513671875
-2.5014476776123047,-2.8372702598571777,-2.8262336254119873,-2.7096803188323975
-3.1135425567626953,-2.7134103775024414,-3.0950825214385986,-3.0598833560943604
-2.572309732437134,-2.7169971466064453,-2.714367389678955,-3.069885730743408
-2.7374351024627686,-2.635333299636841,-3.1553103923797607,-2.6381797790527344
-2.9964637756347656,-3.152764320373535,-2.918816089630127,-3.32139253616333
-3.2202255725860596,-3.2955782413482666,-3.230766773223877,-2.9345407485961914
-3.4768245220184326,-3.911647319793701,-3.058980703353882,-3.5904624462127686
-3.164055347442627,-3.0798470973968506,-2.893894910812378,-3.008662700653076
-3.6926016807556152,-2.7867138385772705,-3.463174343109131,-3.0644567012786865
-3.114854097366333,-3.553396463394165,-3.348153829574585,-3.6665172576904297
-2.772073268890381,-3.507234811782837,-2.5882716178894043,-2.8482186794281006
-2.874666929244995,-3.5134034156799316,-3.0107195377349854,-2.812681198120117
-3.166022300720215,-3.282460927963257,-2.7522857189178467,-3.222450017929077
-3.0719432830810547,-3.1042160987854004,-3.369319200515747,-3.179990530014038
-2.9154484272003174,-3.3440184593200684,-4.230291366577148,-3.9763801097869873
-2.1092145442962646,-2.268829107284546,-2.432173490524292,-2.8013458251953125
-2.8353772163391113,-2.6118037700653076,-3.180898904800415,-3.082266330718994
-2.6234045028686523,-2.982253313064575,-2.5030157566070557,-2.588690996170044
-3.759429454803467,-3.819992780685425,-2.986664295196533,-3.860991954803467
-3.68605899810791,-3.4791202545166016,-3.535280227661133,-3.493236541748047
-3.596658945083618,-3.283865213394165,-2.8087706565856934,-3.4925038814544678
-2.8817312717437744,-2.481426477432251,-2.542846441268921,-2.6074023246765137
-2.7818822860717773,-2.6767616271972656,-3.1058542728424072,-2.704979181289673
-2.7835047245025635,-2.7312848567962646,-2.6227638721466064,-2.614439010620117
-2.898296356201172,-3.0166962146759033,-3.33921217918396,-3.18123197555542
-2.799398183822632,-3.040910005569458,-2.872471570968628,-2.921572685241699
