nll_0,nll_1,nll_2,nll_3
-3.92629075050354,-4.0120768547058105,-3.3559114933013916,-3.6344993114471436
-3.993807792663574,-3.7470600605010986,-3.5295348167419434,-3.4696969985961914
-3.2521190643310547,-3.5023391246795654,-3.226936101913452,-3.871459722518921
-4.041161060333252,-4.5222601890563965,-3.657763719558716,-4.135265350341797
-3.2823474407196045,-3.2919797897338867,-3.1997814178466797,-3.2944207191467285
-3.69533109664917,-3.478794813156128,-3.30253005027771,-3.6932480335235596
-2.4380412101745605,-2.456202268600464,-2.659788131713867,-2.9399125576019287
-4.885444641113281,-4.506750583648682,-4.181755542755127,-4.257659435272217
-3.5784459114074707,-3.229128837585449,-3.0912201404571533,-4.1974005699157715
-3.495985507965088,-3.5394418239593506,-3.404393434524536,-3.811044931411743
-3.530918836593628,-3.384359121322632,-3.9525392055511475,-3.174241065979004
-3.350839376449585,-3.4598798751831055,-3.6666226387023926,-3.794861078262329
-3.6336348056793213,-3.4491140842437744,-3.5966084003448486,-3.562849998474121
-4.425795555114746,-3.939472198486328,-3.6772873401641846,-3.538330316543579
-3.558290481567383,-3.802332639694214,-3.725573778152466,-3.635059356689453
-4.180246829986572,-3.3496758937835693,-3.4575302600860596,-3.4102652072906494
-3.2700631618499756,-3.297391653060913,-3.1985809803009033,-3.1869266033172607
-3.247582197189331,-3.468038558959961,-3.1761937141418457,-3.2733936309814453
-3.2680602073669434,-3.351572036743164,-3.405010938644409,-3.4201107025146484
-3.5201165676116943,-3.484201192855835,-3.5164783000946045,-3.6003901958465576
-3.115084409713745,-3.4692461490631104,-3.444166421890259,-3.172783136367798
-2.8065929412841797,-3.371227741241455,-3.5139760971069336,-2.8835816383361816
-5.115009307861328,-5.309096336364746,-5.022602081298828,-4.637119770050049
-3.50738263130188,-3.809831380844116,-3.8268189430236816,-3.502269983291626
-3.6626534461975098,-4.0459723472595215,-3.925403356552124,-4.122470855712891
-3.9612040519714355,-3.598870038986206,-3.799915313720703,-3.6363134384155273
-3.994138479232788,-4.270208358764648,-4.298881530761719,-4.261776924133301
-3.1099436283111572,-3.4137635231018066,-3.5589311122894287,-2.9504222869873047
-2.943479537963867,-2.7589032649993896,-3.1311423778533936,-2.9604783058166504
-3.530817985534668,-3.6513497829437256,-3.4604578018188477,-3.073244333267212
-3.5822296142578125,-3.7225518226623535,-3.492770195007324,-3.4453089237213135
-3.231227159500122,-3.456880807876587,-3.630765199661255,-3.323129415512085
-3.337883949279785,-3.0025746822357178,-3.436807870864868,-3.353973627090454
-3.6076228618621826,-3.6963069438934326,-3.7245965003967285,-4.050491809844971
