nll_0,nll_1,nll_2,nll_3
-3.594442844390869,-3.8214290142059326,-3.082016944885254,-3.3564131259918213
-3.3729147911071777,-2.8287363052368164,-2.703239679336548,-2.4141159057617188
-2.9123947620391846,-3.2692010402679443,-2.9033608436584473,-3.6935698986053467
-3.2557101249694824,-3.7841241359710693,-2.9303770065307617,-3.757352828979492
-2.69296932220459,-2.6346428394317627,-2.6584413051605225,-2.738125801086426
-3.3318607807159424,-2.838869094848633,-2.9332783222198486,-3.5264787673950195
-2.540998697280884,-2.511159896850586,-2.6520233154296875,-3.0615696907043457
-4.812770843505859,-4.414086818695068,-4.185616970062256,-4.327088832855225
-3.507009267807007,-2.8416130542755127,-2.729522943496704,-3.983159303665161
-3.2275712490081787,-3.0983710289001465,-3.3672292232513428,-3.5016112327575684
-3.3056671619415283,-3.2185988426208496,-3.657843828201294,-2.797469139099121
-3.33301043510437,-3.3903870582580566,-3.342771053314209,-3.4680967330932617
-3.815506935119629,-3.1966826915740967,-3.2965550422668457,-3.3792309761047363
-4.2221198081970215,-3.982132911682129,-3.3422210216522217,-3.4163618087768555
-3.247648239135742,-3.653111457824707,-3.4076693058013916,-3.456782817840576
-3.7663519382476807,-2.971583843231201,-3.02530574798584,-2.70701003074646
-3.2017641067504883,-3.2322325706481934,-2.919079542160034,-3.1200075149536133
-2.9355788230895996,-3.4067506790161133,-3.1839659214019775,-3.277268171310425
-3.037200689315796,-2.8343803882598877,-3.1804893016815186,-3.2942473888397217
-3.0004351139068604,-2.800990104675293,-2.920116424560547,-2.9865942001342773
-3.185952663421631,-3.1511881351470947,-3.4866936206817627,-3.2138776779174805
-2.7338643074035645,-3.3575589656829834,-3.4124834537506104,-2.702484607696533
-4.7122602462768555,-5.2214484214782715,-4.566282749176025,-4.041545867919922
-3.453871726989746,-3.6865813732147217,-3.704288959503174,-3.2894647121429443
-3.2517826557159424,-3.9607386589050293,-3.8961496353149414,-3.978024959564209
-3.8617210388183594,-3.447720527648926,-3.654050350189209,-3.4427876472473145
-3.7114522457122803,-4.113251209259033,-4.224421977996826,-4.001181125640869
-3.283576726913452,-3.8710834980010986,-4.042543411254883,-3.2162375450134277
