nll_0,nll_1,nll_2,nll_3
-72.3305,-61.792633,-49.149998,-62.933266
-90.696526,-80.37758,-84.21758,-83.07255
-171.41661,-183.02975,-150.52953,-237.10155
-50.00247,-64.5862,-68.917915,-65.53134
-101.87572,-95.09709,-102.52689,-103.071205
-82.566154,-100.88427,-76.680336,-94.11801
-85.54057,-74.16335,-82.92399,-86.41275
-141.50323,-124.85337,-114.59421,-112.55246
-189.64948,-106.72206,-78.78311,-120.763626
-142.09691,-122.04795,-157.67683,-155.58122
-135.23895,-159.7629,-125.035904,-128.85518
-122.57075,-158.40384,-119.22745,-152.69382
-163.39061,-150.71681,-125.96823,-141.46196
-145.76512,-162.36746,-132.2552,-120.24081
-126.39307,-130.34137,-128.10284,-133.91873
-175.15773,-163.38425,-177.94623,-141.25087
-119.3624,-101.06541,-112.84501,-104.59242
-105.713196,-118.519005,-93.85093,-121.48513
-153.79128,-144.46448,-143.56407,-178.25314
-187.6916,-170.42267,-168.76143,-183.11946
-143.49567,-131.8807,-161.70924,-180.36761
-84.169044,-92.687904,-102.854126,-80.874565
-85.25442,-123.341354,-91.51899,-78.40423
-129.66833,-150.14105,-146.45445,-120.82904
-127.373215,-128.54494,-115.253395,-167.06866
-276.62115,-181.00673,-214.52072,-213.21408
-98.2494,-117.8586,-120.71903,-111.14767
-115.850334,-85.921265,-104.224556,-77.10408
-112.12496,-98.184364,-141.3556,-103.51695
-140.03925,-129.43156,-131.30167,-114.742744
-129.42967,-127.265015,-117.62305,-131.23712
-66.386734,-62.84274,-91.44959,-83.033676
-249.65372,-185.71228,-229.90572,-284.1713
-130.32648,-100.18206,-111.21357,-124.87288
-163.65488,-166.5325,-156.85078,-163.23958
-191.34457,-167.15497,-146.15868,-185.58336
-181.36389,-151.39473,-190.90273,-204.67995
-57.409096,-67.751236,-73.57837,-61.48392
-126.293076,-126.86424,-133.89203,-136.20038
-146.70413,-116.8782,-146.18727,-126.86309
-234.16191,-209.5235,-175.5224,-199.99
-147.50024,-243.19089,-168.71545,-127.029305
-179.35579,-180.76073,-290.417,-165.43945
-140.33612,-144.59627,-212.92128,-139.83379
-187.56845,-220.59204,-204.82634,-212.31364
-174.94751,-138.70308,-165.14613,-184.35378
-133.56401,-141.51126,-165.35815,-229.52539
-100.85185,-141.14053,-144.88606,-129.97972
-106.883736,-123.79049,-111.99342,-114.10359
-117.85685,-136.85223,-106.86528,-110.72397
-104.75342,-111.66661,-117.97321,-118.639595
-191.57808,-114.702644,-153.22746,-108.40524
-169.90154,-149.5596,-154.34982,-176.87381
-93.1756,-66.21134,-76.53453,-78.149055
-124.23171,-112.63262,-123.24257,-129.13321
-122.93206,-123.973785,-102.81898,-111.95838
-170.24095,-149.36829,-174.89601,-166.50815
-145.57637,-132.09329,-172.68071,-201.17429
-182.38242,-184.51079,-203.87636,-174.95544
-174.06308,-172.32677,-126.41554,-122.94211
-171.688,-144.44093,-174.45549,-231.03192
-156.4298,-127.31893,-142.23828,-130.19585
-122.33368,-139.594,-105.16174,-110.922424
-137.59586,-115.244316,-128.52806,-122.47412
-119.82126,-146.37187,-105.92398,-134.4143
-181.91441,-187.35051,-165.52156,-198.96239
-105.85777,-103.285995,-117.764656,-159.31096
-152.19656,-139.16916,-167.9149,-157.86827
-157.33804,-151.17479,-144.07889,-194.10164
-123.673676,-135.33492,-113.725876,-136.64362
-151.24956,-168.53499,-194.11539,-172.75198
-98.21632,-128.15192,-151.59114,-104.5988
-152.70694,-131.30408,-137.29062,-132.01717
-66.60555,-59.405212,-127.2084,-71.31737
-132.31146,-111.400116,-98.13418,-116.58825
-98.70538,-118.88763,-99.86233,-111.98016
-132.96329,-129.35562,-134.33525,-115.49651
-95.32399,-132.0122,-86.51264,-114.4422
-75.7581,-95.019646,-65.30247,-76.23605
-107.143845,-113.94737,-125.50123,-114.195816
-98.35701,-102.68799,-106.974724,-110.431915
-128.03679,-114.09528,-118.20276,-140.8505
-172.94498,-193.00719,-190.3857,-216.03828
-133.01402,-177.59416,-213.02177,-156.70003
-75.152954,-82.29644,-93.36184,-94.76525
-117.4815,-94.87125,-97.749565,-116.954575
-127.47863,-132.67413,-132.32426,-131.289
-107.46773,-104.36873,-110.13135,-120.97509
-135.62538,-122.978615,-113.85997,-107.99666
-132.45303,-165.12791,-147.57141,-130.30779
-184.28156,-198.42334,-201.04945,-201.20084
-96.29377,-54.49494,-73.3936,-65.93622
-246.89845,-189.39503,-202.29213,-221.43103
