nll_0,nll_1,nll_2,nll_3
-2.2368056774139404,-2.404946804046631,-2.0232391357421875,-2.254152297973633
-2.040233612060547,-2.0470213890075684,-2.0424399375915527,-2.0199167728424072
-2.425626516342163,-2.3518996238708496,-2.151543617248535,-2.9722819328308105
-1.8431214094161987,-2.0161895751953125,-2.0301477909088135,-2.002011299133301
-1.91410231590271,-1.813453197479248,-1.972956895828247,-1.9044139385223389
-2.004236936569214,-2.0873279571533203,-1.8518741130828857,-2.113084554672241
-2.108588457107544,-1.9706542491912842,-2.0014350414276123,-1.9836267232894897
-2.5286459922790527,-2.472886562347412,-2.0932679176330566,-2.020477056503296
-2.7196176052093506,-2.097249984741211,-1.9803576469421387,-2.5297980308532715
-2.432734727859497,-2.130080223083496,-2.4693496227264404,-2.509674072265625
-2.2419445514678955,-2.164440631866455,-1.903369426727295,-1.9948575496673584
-2.084000825881958,-2.4635884761810303,-1.9675681591033936,-2.195429563522339
-2.2926416397094727,-2.040336847305298,-1.9775786399841309,-2.063917398452759
-2.432569742202759,-2.2730789184570312,-2.15543270111084,-1.9793322086334229
-2.3510820865631104,-2.235182285308838,-2.1552927494049072,-2.264827013015747
-2.456012010574341,-2.294189453125,-2.660005807876587,-2.1823549270629883
-2.3605153560638428,-2.061133861541748,-2.0197031497955322,-1.9825071096420288
-2.4602112770080566,-2.5604021549224854,-2.0806994438171387,-2.3018856048583984
-2.2762303352355957,-2.4327480792999268,-2.2177135944366455,-2.610830068588257
-2.254181385040283,-2.1594622135162354,-2.3438525199890137,-2.4753611087799072
-2.491785764694214,-2.114835023880005,-2.3691718578338623,-2.3809425830841064
-1.939202070236206,-2.0743675231933594,-2.5137863159179688,-1.8511747121810913
-1.9497658014297485,-2.660313844680786,-2.1616835594177246,-2.137324333190918
-1.8436700105667114,-2.2499396800994873,-2.237187385559082,-1.803800106048584
-2.64523983001709,-2.525813579559326,-2.5060577392578125,-2.6413118839263916
-3.037794589996338,-2.4035191535949707,-2.7424674034118652,-2.5622241497039795
-1.9764924049377441,-2.2051656246185303,-2.5067555904388428,-2.168635129928589
-2.1841249465942383,-2.145556688308716,-2.370053768157959,-2.1274924278259277
-1.9456987380981445,-1.9040923118591309,-2.4463047981262207,-1.9979314804077148
-2.341935396194458,-2.364720106124878,-2.1841585636138916,-2.1753346920013428
-1.938359022140503,-2.04465389251709,-1.879471778869629,-2.135202646255493
-2.1400539875030518,-1.897873878479004,-2.096457004547119,-2.0088346004486084
-2.6215524673461914,-2.1087961196899414,-2.606116771697998,-2.839845657348633
-2.251126766204834,-1.8991206884384155,-2.3243296146392822,-2.283534049987793
-2.310673475265503,-2.4103705883026123,-2.3733386993408203,-2.2975025177001953
-2.3357911109924316,-2.15325665473938,-2.1739299297332764,-2.417252779006958
-2.565744638442993,-2.3960864543914795,-2.575538396835327,-2.7344629764556885
-1.9642150402069092,-2.081754684448242,-2.2662558555603027,-2.009042501449585
-2.0831046104431152,-2.0183308124542236,-2.3053972721099854,-2.4940266609191895
-2.756014108657837,-2.3566744327545166,-2.5839314460754395,-2.502979040145874
-2.807766914367676,-2.888795852661133,-2.758859157562256,-2.8223516941070557
-2.239503860473633,-3.198016405105591,-2.456709146499634,-2.261289119720459
-2.286299467086792,-2.448733329772949,-2.7049553394317627,-2.257220983505249
-2.178161859512329,-2.278395652770996,-2.7208893299102783,-2.223911762237549
-2.316025495529175,-2.4764621257781982,-2.6346333026885986,-2.7292566299438477
-2.4016482830047607,-2.3994672298431396,-2.88199782371521,-3.0788536071777344
-2.151902675628662,-2.3263611793518066,-2.595337390899658,-2.834585428237915
-2.133168935775757,-2.4251034259796143,-2.5529391765594482,-2.348693609237671
-2.4344096183776855,-2.561722755432129,-2.2951691150665283,-2.549563407897949
-2.6657767295837402,-2.630880832672119,-2.33019757270813,-2.4474072456359863
-2.4634904861450195,-2.4535024166107178,-2.725907802581787,-2.7213780879974365
-2.8084919452667236,-2.107815980911255,-2.312502384185791,-2.029799461364746
-2.3095927238464355,-2.142517328262329,-2.197371244430542,-2.4168810844421387
-2.288750171661377,-2.2643566131591797,-2.3187263011932373,-2.409106969833374
-2.2337260246276855,-2.0549752712249756,-2.1225075721740723,-2.3446097373962402
-2.2740111351013184,-2.4219260215759277,-2.3702971935272217,-2.468397378921509
-2.2118988037109375,-2.265639305114746,-2.192568302154541,-2.1005139350891113
-2.687265634536743,-2.5713250637054443,-3.060081958770752,-2.973118782043457
-2.5032293796539307,-2.671778440475464,-2.9000396728515625,-2.6651949882507324
-2.9725239276885986,-2.832900047302246,-2.51406192779541,-2.375511407852173
-2.5424535274505615,-2.1564347743988037,-2.4287776947021484,-2.7308743000030518
-2.274919033050537,-2.1886048316955566,-2.3506646156311035,-2.007441759109497
-2.0979459285736084,-2.1837916374206543,-1.9963048696517944,-2.099036693572998
-2.3698885440826416,-2.0907042026519775,-1.9284127950668335,-2.0022408962249756
-2.1868486404418945,-2.427030086517334,-2.189396858215332,-2.2651987075805664
-2.2664127349853516,-2.0934507846832275,-2.2014505863189697,-2.530932903289795
-2.024771213531494,-2.0517983436584473,-2.245758056640625,-2.772397994995117
-2.1996474266052246,-2.3280656337738037,-2.1967556476593018,-2.2097482681274414
-2.134075164794922,-2.167055606842041,-2.256588935852051,-2.7550485134124756
-2.3365912437438965,-2.521674156188965,-2.2588376998901367,-2.356645345687866
-2.0531935691833496,-2.00429368019104,-2.512619733810425,-2.097536563873291
-2.066256523132324,-2.2787623405456543,-2.5815255641937256,-2.042240858078003
-2.5618646144866943,-2.572803497314453,-2.387455940246582,-1.9606480598449707
-2.11318302154541,-2.1963319778442383,-2.4939894676208496,-2.186969041824341
