nll_0,nll_1,nll_2,nll_3
-2.041624069213867,-2.113050699234009,-1.7054200172424316,-2.102616310119629
-2.059741258621216,-2.075040578842163,-1.9975059032440186,-1.9837429523468018
-2.2552285194396973,-2.4258615970611572,-2.1434671878814697,-2.8722448348999023
-1.8868719339370728,-2.073991298675537,-2.064250946044922,-2.029242753982544
-1.9419883489608765,-1.8412636518478394,-2.0472543239593506,-1.9617289304733276
-2.076622486114502,-2.1916990280151367,-1.860703706741333,-2.247143268585205
-1.9515972137451172,-1.7663366794586182,-1.8633818626403809,-1.9178866147994995
-2.351684808731079,-2.2003538608551025,-2.033781051635742,-1.9543795585632324
-2.580732583999634,-1.972680926322937,-1.888710618019104,-2.484264850616455
-2.3231520652770996,-2.0372154712677,-2.2895312309265137,-2.3735361099243164
-1.9145348072052002,-2.021705389022827,-1.8302723169326782,-1.9250469207763672
-1.9924273490905762,-2.3154456615448,-1.8181447982788086,-2.0103142261505127
-2.4317450523376465,-2.030722141265869,-1.9955109357833862,-2.2140285968780518
-2.141364812850952,-2.1086630821228027,-2.0587661266326904,-1.8946481943130493
-2.30757474899292,-2.28196120262146,-2.1268811225891113,-2.224548101425171
-2.503469705581665,-2.2172975540161133,-2.548001289367676,-2.1114754676818848
-2.2713582515716553,-1.968536138534546,-1.9948421716690063,-1.8903839588165283
-2.420626163482666,-2.4764888286590576,-2.022507905960083,-2.409374237060547
-2.249129295349121,-2.3203141689300537,-2.1982457637786865,-2.482281446456909
-2.1096551418304443,-1.989839792251587,-2.1842472553253174,-2.3594985008239746
-2.2262651920318604,-2.013878107070923,-2.2026267051696777,-2.284539222717285
-1.8864814043045044,-1.856194257736206,-1.9883562326431274,-1.645605444908142
-1.971396803855896,-2.6634793281555176,-2.224764108657837,-2.033646821975708
-1.934638261795044,-2.245252847671509,-2.1793017387390137,-1.8005942106246948
-2.5491437911987305,-2.6572134494781494,-2.5590689182281494,-2.8246536254882812
-2.970993757247925,-2.3130581378936768,-2.587932825088501,-2.4010274410247803
-1.9524810314178467,-2.196260452270508,-2.4404048919677734,-2.1307199001312256
-2.131284236907959,-2.2164981365203857,-2.367030143737793,-2.0486183166503906
-1.991919755935669,-1.9892446994781494,-2.462228536605835,-1.9707045555114746
-2.355433225631714,-2.386598825454712,-2.171536684036255,-2.0699737071990967
-1.926039695739746,-2.003676652908325,-1.9151699542999268,-2.1174967288970947
-2.0704386234283447,-1.848105788230896,-2.068150758743286,-2.0188825130462646
-2.6289448738098145,-2.1077558994293213,-2.5278265476226807,-2.8156898021698
-2.157712936401367,-1.887734055519104,-2.105804204940796,-2.1099302768707275
-2.1519510746002197,-2.3226325511932373,-2.20719051361084,-2.1538422107696533
-2.3394970893859863,-2.250178337097168,-2.2269821166992188,-2.6052019596099854
-2.3834517002105713,-2.160670280456543,-2.348459243774414,-2.3786368370056152
-1.9294415712356567,-2.0130667686462402,-2.125671148300171,-1.8993586301803589
-1.9407967329025269,-1.9846985340118408,-2.165632963180542,-2.417022943496704
-2.639298439025879,-2.296509027481079,-2.630101442337036,-2.409423828125
-2.443934202194214,-2.6842613220214844,-2.3315317630767822,-2.4669671058654785
-2.2366697788238525,-3.206768274307251,-2.370410919189453,-2.248307228088379
-2.148416519165039,-2.394350528717041,-2.564295530319214,-2.100476026535034
-2.1112630367279053,-2.2080495357513428,-2.4308853149414062,-2.260984182357788
-2.259528875350952,-2.391165018081665,-2.6372828483581543,-2.6573233604431152
-2.2626867294311523,-2.3029158115386963,-2.8270652294158936,-2.800076723098755
-2.0593154430389404,-2.099724292755127,-2.417804718017578,-2.8291995525360107
-1.9370423555374146,-2.272447347640991,-2.3968288898468018,-2.094341993331909
-1.9042937755584717,-2.0865252017974854,-1.901807427406311,-2.0685336589813232
-2.5354163646698,-2.554517984390259,-2.213794469833374,-2.3351118564605713
-2.2257683277130127,-2.309548854827881,-2.3785245418548584,-2.4280030727386475
-2.7384731769561768,-2.091261625289917,-2.2662885189056396,-2.0552563667297363
