nll_0,nll_1,nll_2,nll_3
-2.733041524887085,-3.0527215003967285,-2.550895929336548,-2.885509967803955
-2.7782468795776367,-2.753415107727051,-2.775268316268921,-2.657862901687622
-3.018054485321045,-2.963960647583008,-2.7125368118286133,-3.3992185592651367
-2.497129440307617,-2.7258481979370117,-2.585326671600342,-2.67258620262146
-2.5462474822998047,-2.4348862171173096,-2.6463348865509033,-2.649911880493164
-2.719783306121826,-2.738286256790161,-2.4628260135650635,-2.8408119678497314
-2.5794613361358643,-2.6056697368621826,-2.7407848834991455,-2.6166439056396484
-3.3766608238220215,-3.1248226165771484,-2.688448190689087,-2.608513593673706
-3.086785316467285,-2.53572940826416,-2.4652187824249268,-3.125622510910034
-2.9468443393707275,-2.9885036945343018,-3.000187397003174,-3.121037244796753
-2.7190282344818115,-2.6599106788635254,-2.513483762741089,-2.5766587257385254
-2.7248947620391846,-2.910249948501587,-2.5572381019592285,-2.717888593673706
-2.9134628772735596,-2.6100685596466064,-2.5505216121673584,-2.8086228370666504
-2.8317596912384033,-2.7912282943725586,-2.7385165691375732,-2.6147525310516357
-2.9189062118530273,-2.8091094493865967,-2.7706305980682373,-2.890937566757202
-3.06032657623291,-2.747175455093384,-3.120925188064575,-2.821814775466919
-2.8513453006744385,-2.5676026344299316,-2.656358003616333,-2.6159794330596924
-3.216843366622925,-3.3693480491638184,-2.677436351776123,-3.1738102436065674
-3.0460166931152344,-3.1651062965393066,-2.837630033493042,-3.2404587268829346
-2.7568471431732178,-2.6588900089263916,-2.860502243041992,-2.9401557445526123
-2.980772018432617,-2.7122578620910645,-2.80019474029541,-2.862051486968994
-2.5216565132141113,-2.6288669109344482,-2.947540283203125,-2.2938568592071533
-2.624962568283081,-3.2685248851776123,-2.762714385986328,-2.713491678237915
-2.447143316268921,-2.891786813735962,-2.6638269424438477,-2.3748114109039307
-3.107820749282837,-2.9874143600463867,-3.1000308990478516,-3.117074728012085
-3.6354610919952393,-2.934368848800659,-3.149787187576294,-3.0779616832733154
-2.793198585510254,-2.8743131160736084,-3.048328161239624,-2.769310235977173
-2.7580184936523438,-2.701767683029175,-2.819084882736206,-2.605980634689331
-2.616239309310913,-2.641551971435547,-3.151874542236328,-2.7039296627044678
-3.031404495239258,-3.0600409507751465,-2.8896522521972656,-2.760570526123047
-2.3874282836914062,-2.609802484512329,-2.488534688949585,-2.6354355812072754
-2.6872735023498535,-2.3669230937957764,-2.7019410133361816,-2.505143642425537
-3.1944499015808105,-2.729140281677246,-3.179936170578003,-3.3729183673858643
-2.8285906314849854,-2.6083149909973145,-2.904912233352661,-2.881110906600952
-2.9600486755371094,-2.9685637950897217,-3.1292049884796143,-2.986201047897339
-2.973875045776367,-2.8762741088867188,-2.8583855628967285,-3.144399881362915
-2.885735511779785,-2.6671643257141113,-3.156353712081909,-2.8667120933532715
