nll_0,nll_1,nll_2,nll_3
-2.5919599533081055,-2.916807174682617,-2.1250548362731934,-2.802583932876587
-2.5144379138946533,-2.4948127269744873,-2.3220882415771484,-2.261542797088623
-2.4767937660217285,-2.780632495880127,-2.392315149307251,-3.3454325199127197
-2.199474334716797,-2.4790756702423096,-2.4529871940612793,-2.443666934967041
-2.307114839553833,-2.16849422454834,-2.38820219039917,-2.2638957500457764
-2.4638445377349854,-2.589768171310425,-2.2107274532318115,-2.5642249584198
-2.3730576038360596,-2.2945151329040527,-2.449774980545044,-2.440140962600708
-2.9931392669677734,-2.5089666843414307,-2.24942684173584,-2.4033145904541016
-2.9909396171569824,-2.4034807682037354,-2.4166202545166016,-3.0695371627807617
-2.7721941471099854,-2.734802007675171,-2.9721462726593018,-3.039238214492798
-2.5775256156921387,-2.4804012775421143,-2.337806224822998,-2.432316541671753
-2.6520233154296875,-2.8760552406311035,-2.443697214126587,-2.733049154281616
-2.8377606868743896,-2.4162797927856445,-2.315666675567627,-2.6213526725769043
-2.778414249420166,-2.7816529273986816,-2.591365098953247,-2.540172815322876
-2.8236401081085205,-2.7438416481018066,-2.4674222469329834,-2.7391412258148193
-2.985408067703247,-2.4114794731140137,-2.7798821926116943,-2.438446521759033
-2.880281686782837,-2.4854319095611572,-2.413468360900879,-2.351574420928955
-3.0503275394439697,-3.011828660964966,-2.4088101387023926,-2.845957040786743
-2.654707431793213,-2.8552684783935547,-2.715296745300293,-3.020977020263672
-2.497448682785034,-2.3259499073028564,-2.5939416885375977,-2.7258479595184326
-2.9082581996917725,-2.7661898136138916,-2.850825071334839,-2.8981473445892334
-2.3048501014709473,-2.442239999771118,-2.628932237625122,-1.9666279554367065
-2.4526398181915283,-3.23644757270813,-2.768167495727539,-2.5867245197296143
-2.112605094909668,-2.662153720855713,-2.5937411785125732,-2.07412052154541
-2.917732000350952,-3.1062190532684326,-3.0298867225646973,-3.3201744556427
-3.557521343231201,-2.868919849395752,-3.1484453678131104,-3.0264275074005127
-2.3437540531158447,-2.6675784587860107,-3.0039100646972656,-2.427046775817871
-2.5556325912475586,-2.6920344829559326,-2.8820981979370117,-2.3964602947235107
-2.319450855255127,-2.2582483291625977,-2.984280824661255,-2.3431432247161865
-2.907870292663574,-2.958493709564209,-2.647817373275757,-2.5400383472442627
-2.232755184173584,-2.5429186820983887,-2.2694263458251953,-2.425690174102783
-2.4584946632385254,-2.277521848678589,-2.5701730251312256,-2.438922882080078
-3.0113723278045654,-2.496765613555908,-3.0564119815826416,-3.2226617336273193
-2.774935245513916,-2.3704211711883545,-2.690854072570801,-2.8008716106414795
-2.6565961837768555,-2.8039255142211914,-2.7937145233154297,-2.604910135269165
-2.8263840675354004,-2.6669273376464844,-2.7451722621917725,-3.0547869205474854
-3.1064579486846924,-2.7846553325653076,-3.126217842102051,-2.8332791328430176
-2.274773597717285,-2.4814414978027344,-2.535352945327759,-2.240734577178955
-2.3693430423736572,-2.3492021560668945,-2.7654826641082764,-3.0387802124023438
-3.13881516456604,-2.7139101028442383,-3.040731906890869,-2.7265851497650146
-2.994138240814209,-3.338218927383423,-2.9255852699279785,-3.0853185653686523
-2.6972527503967285,-3.896632432937622,-2.6814346313476562,-2.8003766536712646
-2.673243999481201,-3.004216194152832,-3.0455901622772217,-2.722703218460083
-2.4308362007141113,-2.7566161155700684,-3.111658811569214,-2.767122507095337
-2.6637229919433594,-2.8321399688720703,-3.1316957473754883,-3.23590087890625
