nll_0,nll_1,nll_2,nll_3
-4.615376949310303,-5.445815563201904,-4.240242004394531,-4.858554840087891
-4.529228210449219,-4.744745254516602,-4.312271595001221,-4.299034118652344
-4.67898416519165,-4.6506218910217285,-4.663151741027832,-5.186305522918701
-4.18683385848999,-4.537081241607666,-4.400896072387695,-4.241469383239746
-4.397916793823242,-4.3279595375061035,-4.294917106628418,-4.2970757484436035
-4.523115158081055,-4.787514686584473,-4.12919282913208,-4.556652069091797
-4.356757164001465,-4.294409275054932,-4.788553237915039,-4.43070125579834
-5.181065082550049,-5.0292768478393555,-4.29689359664917,-4.61242151260376
-4.6198954582214355,-4.433210372924805,-4.554197311401367,-5.1426239013671875
-4.955848693847656,-4.9924397468566895,-4.8953166007995605,-5.122425079345703
-4.748256206512451,-4.317501544952393,-4.53394079208374,-4.757233619689941
-4.8537983894348145,-4.628645420074463,-4.6325273513793945,-4.53428316116333
-4.814195156097412,-4.304373741149902,-4.5179924964904785,-4.636065483093262
-5.314812660217285,-4.9312357902526855,-4.759446144104004,-4.59067964553833
-4.957242012023926,-4.638705253601074,-4.711883068084717,-4.820765972137451
-4.906693458557129,-4.614100933074951,-4.641936779022217,-4.349623680114746
-4.665057182312012,-4.118910312652588,-4.468536853790283,-4.294255256652832
-5.045523643493652,-5.292591571807861,-4.346807956695557,-4.857797145843506
-4.955233097076416,-4.9278717041015625,-4.681400299072266,-5.350845813751221
-4.1673994064331055,-4.189043045043945,-4.476250171661377,-4.380433559417725
-5.0297932624816895,-4.835762977600098,-5.0021514892578125,-5.163466453552246
-4.198798656463623,-4.596184253692627,-4.673889636993408,-4.334763050079346
-4.540131568908691,-5.382286071777344,-4.5639848709106445,-5.003966331481934
-3.970975875854492,-4.624607563018799,-4.509634971618652,-4.03458833694458
-5.142817497253418,-5.546565532684326,-5.558349609375,-5.537743091583252
-5.3188557624816895,-4.473463535308838,-4.8938469886779785,-4.9059858322143555
-4.329401969909668,-4.487720012664795,-4.99101448059082,-4.34878396987915
-4.201218605041504,-4.745824813842773,-4.702266216278076,-4.280141830444336
-4.164231777191162,-4.187005996704102,-4.671197891235352,-4.36236047744751
-4.6886067390441895,-4.902402877807617,-4.285590171813965,-4.579546928405762
-4.368642330169678,-4.6628828048706055,-4.119438171386719,-4.3965983390808105
-5.050626277923584,-4.532114028930664,-4.4405598640441895,-4.354571342468262
-4.651406288146973,-4.294632911682129,-4.890803337097168,-4.748312473297119
-4.911330223083496,-4.613830089569092,-4.857230186462402,-5.437378883361816
-4.28292989730835,-4.340825080871582,-4.778104305267334,-4.463109016418457
-4.500545978546143,-4.219869613647461,-4.486227035522461,-4.973981857299805
-4.992334842681885,-4.584973335266113,-5.038586616516113,-4.748241424560547
-4.520811080932617,-4.504473686218262,-4.713245391845703,-4.49043607711792
-4.650664329528809,-4.563305377960205,-4.563956260681152,-5.324675559997559
-5.369149208068848,-4.568399429321289,-5.091516494750977,-4.8717780113220215
-4.896797180175781,-5.25529146194458,-4.928256034851074,-4.79911470413208
-4.491920471191406,-5.766872882843018,-4.846087455749512,-4.787509918212891
-4.196896076202393,-4.946897983551025,-4.398041725158691,-4.380743503570557
-4.600535869598389,-4.751985549926758,-4.760489463806152,-4.335371971130371
-4.139070987701416,-4.510412216186523,-4.915534973144531,-5.330916404724121
-4.477915287017822,-4.398706436157227,-5.451888561248779,-5.057870864868164
-3.7680108547210693,-4.049515247344971,-4.323012828826904,-4.959343433380127
-4.540471076965332,-4.449481010437012,-5.011967658996582,-4.788058280944824
-4.334702491760254,-4.5544843673706055,-4.058510780334473,-4.453493118286133
-5.2260589599609375,-4.834843158721924,-4.382635593414307,-4.875384330749512
-4.916853904724121,-4.812447547912598,-5.213531017303467,-5.0980634689331055
-4.727405548095703,-4.411807060241699,-4.474453449249268,-4.403566360473633
-5.1762800216674805,-4.547370433807373,-5.058892726898193,-4.706758499145508
-4.507997512817383,-4.485167980194092,-4.672324180603027,-4.761015892028809
-4.537927627563477,-4.765026569366455,-4.556119918823242,-4.7027082443237305
-4.51265811920166,-4.710402011871338,-5.2077789306640625,-5.05674409866333
-4.564958095550537,-4.782502174377441,-4.426382541656494,-4.513876914978027
-4.8711018562316895,-4.747617721557617,-5.308553695678711,-5.248327732086182
-4.5513763427734375,-5.006495952606201,-4.99945592880249,-4.795100212097168
-5.02075719833374,-4.735465049743652,-4.135887145996094,-4.130105018615723
-5.165853500366211,-4.516563892364502,-4.268613815307617,-4.893890857696533
-4.683995246887207,-4.641137599945068,-4.793763160705566,-4.078168869018555
-4.061120986938477,-4.4567790031433105,-4.405445098876953,-4.4467902183532715
-4.875187873840332,-4.766118049621582,-3.99017596244812,-4.4133100509643555
-4.8005475997924805,-4.714290618896484,-5.121058464050293,-4.799186706542969
-4.838113784790039,-4.704463481903076,-4.885342121124268,-4.753836631774902
-3.868131160736084,-4.455381393432617,-4.832310676574707,-5.2978692054748535
-5.124526023864746,-5.073490142822266,-4.755253791809082,-4.9450459480285645
-4.476973056793213,-4.575707912445068,-4.440192222595215,-5.265822887420654
-4.686855792999268,-4.483973503112793,-4.821454048156738,-4.286046504974365
-4.3597869873046875,-4.149183750152588,-5.007202625274658,-4.208238124847412
-4.45004940032959,-4.683189868927002,-4.99999475479126,-4.385087013244629
-5.045231342315674,-5.102354049682617,-4.736155986785889,-4.685295581817627
-4.3983473777771,-4.391702175140381,-4.1991472244262695,-4.3115997314453125
-5.13983678817749,-4.875243186950684,-4.459661960601807,-4.817657947540283
-4.319339752197266,-4.479265213012695,-4.722514629364014,-4.382706642150879
-4.579078197479248,-4.16319465637207,-4.45283317565918,-4.02941370010376
-4.408297061920166,-4.936097621917725,-4.613956928253174,-4.178555488586426
-4.447540760040283,-4.996143817901611,-4.342942237854004,-4.373703956604004
-4.406820774078369,-4.793877601623535,-4.508220195770264,-4.620683193206787
-4.271100044250488,-4.157248020172119,-4.10664176940918,-4.4537577629089355
-4.546551704406738,-4.630312442779541,-4.408634185791016,-4.250328063964844
-4.192963600158691,-3.959200382232666,-4.407409191131592,-4.61959171295166
-4.254696369171143,-4.486898422241211,-4.753418445587158,-4.279118537902832
-4.9407148361206055,-4.599518299102783,-4.551798343658447,-4.740740776062012
-4.405492782592773,-4.53071928024292,-4.104106903076172,-5.187737464904785
-4.688005447387695,-4.334000587463379,-4.448123455047607,-4.291568279266357
-4.362969398498535,-4.757790565490723,-4.720882892608643,-4.30535888671875
-4.6755757331848145,-4.87283182144165,-4.27223539352417,-4.525264739990234
-4.341281890869141,-4.685760974884033,-4.4188313484191895,-4.32526159286499
-4.753859519958496,-4.6668782234191895,-4.865339279174805,-4.653731822967529
-5.053823947906494,-4.271426200866699,-4.503236770629883,-4.453463554382324
-4.8340935707092285,-4.531936168670654,-4.777089595794678,-5.007132530212402
-4.482410907745361,-4.830466270446777,-4.083683490753174,-3.9536452293395996
-4.474386215209961,-4.683671951293945,-4.803710460662842,-4.570738792419434
-4.637702941894531,-4.7265496253967285,-4.626096725463867,-4.208573341369629
-4.486443996429443,-4.620936870574951,-4.846452713012695,-4.160724639892578
-4.648082733154297,-4.9166646003723145,-4.721476078033447,-4.55557918548584
-4.422179222106934,-4.9394307136535645,-4.597685813903809,-4.811384201049805
