nll_0,nll_1,nll_2,nll_3
-3.855865001678467,-4.2908220291137695,-3.097055435180664,-3.900930643081665
-3.6685233116149902,-4.052058696746826,-3.767900228500366,-3.419095516204834
-3.660493850708008,-3.630401134490967,-3.5952305793762207,-4.443119525909424
-3.5220868587493896,-3.896345615386963,-3.63922119140625,-3.6784002780914307
-3.5375778675079346,-3.4547805786132812,-3.7222900390625,-3.5743794441223145
-4.044063568115234,-3.8841488361358643,-3.4599523544311523,-3.918135643005371
-3.4166998863220215,-3.375042676925659,-3.4680023193359375,-3.455899238586426
-4.21431303024292,-3.8050904273986816,-3.4928364753723145,-3.5208606719970703
-3.7568166255950928,-3.256058692932129,-3.4548490047454834,-4.116704940795898
-3.7285523414611816,-3.8463847637176514,-3.729400634765625,-4.17616081237793
-3.3759493827819824,-3.357811450958252,-3.498011350631714,-3.2687857151031494
-3.6191043853759766,-4.017252445220947,-3.6255569458007812,-3.656139373779297
-3.897972583770752,-3.4371960163116455,-3.6666369438171387,-3.6292788982391357
-3.983999013900757,-3.4163851737976074,-3.51838755607605,-3.364307165145874
-4.00788688659668,-3.915163516998291,-3.466047525405884,-3.690049171447754
-4.119786262512207,-3.2161924839019775,-3.7716848850250244,-3.377230167388916
-3.573659658432007,-3.6507763862609863,-3.351449489593506,-3.3922786712646484
-3.9576358795166016,-4.06131649017334,-3.4362566471099854,-3.8737945556640625
-3.7413339614868164,-4.033349990844727,-4.093347549438477,-4.356514930725098
-3.2084717750549316,-3.1845521926879883,-3.504716634750366,-3.5390708446502686
-3.871018409729004,-3.9745395183563232,-3.6322410106658936,-3.473904609680176
-3.216712236404419,-3.6044280529022217,-3.8028910160064697,-2.8783504962921143
-3.7274653911590576,-4.420103073120117,-4.0403971672058105,-3.7606143951416016
-3.0939083099365234,-3.7234339714050293,-3.577110528945923,-3.1539249420166016
-3.968541383743286,-4.051675796508789,-4.097133159637451,-4.079237937927246
-4.345541477203369,-3.774463653564453,-4.102035999298096,-3.904545783996582
-3.509518623352051,-3.6971495151519775,-3.9617888927459717,-3.716219186782837
-3.3030128479003906,-4.047354221343994,-4.0205464363098145,-3.528543472290039
-3.563366174697876,-3.445408582687378,-4.1635003089904785,-3.7077629566192627
-3.912472724914551,-4.211213111877441,-3.925165891647339,-3.6870312690734863
-3.4771664142608643,-3.7802531719207764,-3.4213290214538574,-3.5181968212127686
-3.8429245948791504,-3.5313475131988525,-3.5194225311279297,-3.4032840728759766
-4.003840446472168,-3.5144436359405518,-4.253640651702881,-3.869950771331787
-3.654834747314453,-3.299631118774414,-3.9231443405151367,-3.870957374572754
-3.615837335586548,-3.7938199043273926,-4.1030073165893555,-3.591721773147583
-3.668057680130005,-3.599616527557373,-3.928438425064087,-4.245623588562012
-4.309190273284912,-4.222865581512451,-4.101182460784912,-3.937718391418457
-3.7684519290924072,-3.9460535049438477,-3.6618216037750244,-3.716670036315918
-3.907716751098633,-3.6081340312957764,-3.817972183227539,-4.128857612609863
-4.619388580322266,-3.7792365550994873,-4.057180881500244,-3.7625808715820312
-3.5202887058258057,-4.092889785766602,-3.7051918506622314,-4.133563041687012
-3.6423215866088867,-4.603757381439209,-3.769425630569458,-3.838486671447754
-3.658679962158203,-4.294535160064697,-3.5176937580108643,-3.5658187866210938
-3.672821044921875,-3.830626964569092,-3.856898307800293,-3.9037954807281494
-3.6617431640625,-3.6585958003997803,-4.201053142547607,-4.348458766937256
-3.5146055221557617,-3.981752634048462,-5.0802717208862305,-4.588298797607422
-3.1862952709198,-3.1671550273895264,-3.6914565563201904,-4.047348976135254
-3.597968578338623,-3.5552847385406494,-4.080955505371094,-3.7262070178985596
-3.3101119995117188,-3.647139310836792,-3.047337532043457,-3.7967939376831055
-4.790018081665039,-4.157434940338135,-3.631962537765503,-4.286247253417969
-4.132091045379639,-4.041566848754883,-4.299122333526611,-4.105493545532227
