nll_0,nll_1,nll_2,nll_3
-2.947866201400757,-3.3721015453338623,-2.581601142883301,-2.9848945140838623
-2.6274378299713135,-2.8374853134155273,-2.606510877609253,-2.6566200256347656
-2.762754440307617,-3.016855239868164,-2.855041742324829,-3.528791666030884
-2.8244590759277344,-3.1316704750061035,-2.841041326522827,-2.7843387126922607
-2.8503634929656982,-2.737159013748169,-2.85288143157959,-2.8220574855804443
-3.0501561164855957,-2.780148983001709,-2.753939628601074,-3.120053768157959
-2.704275608062744,-2.61141037940979,-2.7120139598846436,-2.717456102371216
-3.1475346088409424,-3.0268797874450684,-2.779581069946289,-2.823772430419922
-3.061762571334839,-2.7514896392822266,-2.7149405479431152,-3.3053138256073
-3.1592366695404053,-3.1087894439697266,-3.0328938961029053,-3.221043348312378
-2.906122922897339,-2.6939568519592285,-2.7515175342559814,-2.706684112548828
-2.997411012649536,-2.906428337097168,-3.0517706871032715,-2.679633140563965
-3.0241408348083496,-2.562791585922241,-2.763077735900879,-2.6902406215667725
-2.9885332584381104,-2.8682615756988525,-2.6935203075408936,-2.750866174697876
-3.1812520027160645,-3.3237266540527344,-2.9953298568725586,-3.0864436626434326
-3.1253645420074463,-2.8341307640075684,-2.97735857963562,-2.810206413269043
-2.8918654918670654,-2.743396759033203,-2.5592050552368164,-2.4343409538269043
-3.107868194580078,-3.206294298171997,-2.814649820327759,-3.1630027294158936
-3.0079054832458496,-3.020099639892578,-3.0353546142578125,-3.373109817504883
-2.6551196575164795,-2.6458911895751953,-2.929142713546753,-2.793585777282715
-3.022212505340576,-2.982379198074341,-2.8827500343322754,-2.9014391899108887
-2.586806058883667,-2.952211380004883,-2.8246021270751953,-2.5240085124969482
-2.95206356048584,-3.314244508743286,-2.9656248092651367,-2.751096725463867
-2.46541166305542,-2.8658177852630615,-2.6773288249969482,-2.470517635345459
-3.253580331802368,-3.2654612064361572,-3.2461278438568115,-3.3873136043548584
-3.5703275203704834,-3.1625816822052,-3.4438273906707764,-3.298691511154175
-2.688730239868164,-3.000326156616211,-3.199856758117676,-2.886098623275757
-2.665846347808838,-2.9167423248291016,-2.969837188720703,-2.697815418243408
-2.6646885871887207,-2.537858724594116,-3.0995213985443115,-2.8369624614715576
-3.0422651767730713,-3.287710189819336,-3.0666556358337402,-2.8317575454711914
-2.5042197704315186,-2.813934087753296,-2.5840671062469482,-2.8198788166046143
-2.6793859004974365,-2.6995363235473633,-2.762265205383301,-2.803455114364624
-3.388808250427246,-2.869636058807373,-3.2971503734588623,-3.3563904762268066
-2.787973403930664,-2.67452073097229,-2.876396656036377,-3.0715317726135254
-2.9889559745788574,-2.80606746673584,-3.153472423553467,-2.7479054927825928
-2.928687810897827,-2.8558459281921387,-2.7880494594573975,-3.2011966705322266
-3.1838879585266113,-3.211719036102295,-3.0343167781829834,-2.9645140171051025
-2.8494796752929688,-2.982299566268921,-3.1039371490478516,-2.9491748809814453
-3.1591670513153076,-2.9547643661499023,-3.1106605529785156,-3.3887858390808105
-3.4466748237609863,-3.0062713623046875,-3.4379618167877197,-3.170196533203125
-2.9735772609710693,-3.5529468059539795,-3.2503130435943604,-3.4337244033813477
