nll_0,nll_1,nll_2,nll_3
-2.9803879261016846,-3.1974751949310303,-2.5601589679718018,-2.9893152713775635
-2.8789308071136475,-2.893552541732788,-2.7249341011047363,-2.7479279041290283
-2.9173338413238525,-3.133768320083618,-2.871178150177002,-3.539562463760376
-2.6837799549102783,-2.968892812728882,-2.8062593936920166,-2.8349971771240234
-2.69268536567688,-2.6271584033966064,-2.8272926807403564,-2.7459850311279297
-2.9739394187927246,-2.9105570316314697,-2.672682523727417,-3.104869842529297
-2.6565499305725098,-2.633432626724243,-2.646146535873413,-2.7911388874053955
-3.17012095451355,-3.0552945137023926,-2.64208984375,-2.702641010284424
-3.206871271133423,-2.648775815963745,-2.666743278503418,-3.4099817276000977
-2.9637179374694824,-2.9297094345092773,-3.042248487472534,-3.265880823135376
-2.7611374855041504,-2.728252410888672,-2.6107938289642334,-2.6287336349487305
-2.930715560913086,-3.0100834369659424,-2.7961254119873047,-2.8822684288024902
-3.072265625,-2.7421059608459473,-2.8136303424835205,-2.982046365737915
-3.1020853519439697,-2.893674373626709,-2.913125991821289,-2.627983331680298
-3.1697728633880615,-3.10941481590271,-2.794921875,-3.0161526203155518
-3.371077537536621,-2.7529642581939697,-3.208315849304199,-2.761207342147827
-2.9809889793395996,-2.785616636276245,-2.6350717544555664,-2.602290153503418
-3.252152442932129,-3.429171085357666,-2.7549374103546143,-3.3476316928863525
-3.115523099899292,-3.3416659832000732,-3.1927595138549805,-3.24923038482666
-2.784637451171875,-2.6393868923187256,-2.906435251235962,-2.95048451423645
-3.0103564262390137,-3.0499727725982666,-2.9721732139587402,-3.0756897926330566
-2.5107882022857666,-2.761838436126709,-2.8841426372528076,-2.312309980392456
-2.7971696853637695,-3.4849987030029297,-3.0551159381866455,-2.793379783630371
-2.588341236114502,-2.974052667617798,-2.89909029006958,-2.4259936809539795
-3.228646993637085,-3.4018495082855225,-3.387863874435425,-3.6036579608917236
-3.7271981239318848,-3.123872756958008,-3.5181474685668945,-3.2481789588928223
-2.777461051940918,-3.0948355197906494,-3.298482894897461,-2.8984458446502686
-2.80861759185791,-3.0554449558258057,-3.200556516647339,-2.7572662830352783
-2.7079973220825195,-2.6650919914245605,-3.394536256790161,-2.7847533226013184
-3.290010690689087,-3.3048224449157715,-2.9050328731536865,-2.959089756011963
-2.65171217918396,-2.930147647857666,-2.662724733352661,-2.8786983489990234
-2.8893322944641113,-2.6424334049224854,-2.8642637729644775,-2.7960093021392822
-3.342210531234741,-2.8926491737365723,-3.337280035018921,-3.4256224632263184
-2.9197194576263428,-2.5880239009857178,-3.002256155014038,-3.0149295330047607
-2.898238182067871,-3.0569779872894287,-3.0764896869659424,-2.879431962966919
-3.031409740447998,-2.9251439571380615,-3.038530111312866,-3.327169179916382
-3.4419331550598145,-3.0894482135772705,-3.3880674839019775,-3.1395630836486816
-2.825134038925171,-3.0212929248809814,-2.939199447631836,-2.7611451148986816
-2.964050054550171,-2.785975217819214,-3.0841434001922607,-3.4053006172180176
-3.637188196182251,-2.9292900562286377,-3.361081123352051,-3.107703924179077
-3.11267352104187,-3.415184259414673,-3.1214098930358887,-3.2904951572418213
-2.922710657119751,-3.9737343788146973,-3.0774152278900146,-3.0663774013519287
-2.8535890579223633,-3.3463211059570312,-3.0613930225372314,-2.948310375213623
-2.8153553009033203,-3.0895235538482666,-3.285778284072876,-3.019913911819458
-2.9381015300750732,-2.992780923843384,-3.4100985527038574,-3.5381133556365967
-2.8676676750183105,-3.124641180038452,-3.9128990173339844,-3.598188638687134
-2.79472279548645,-2.840867280960083,-3.150390386581421,-3.4962549209594727
-2.897665500640869,-2.9884274005889893,-3.3846817016601562,-2.9993696212768555
-2.689811944961548,-2.870405673980713,-2.4702372550964355,-2.7899038791656494
-3.578233480453491,-3.391430139541626,-2.938708782196045,-3.3329389095306396
-3.176264524459839,-3.2029457092285156,-3.3613533973693848,-3.3714122772216797
-3.474388360977173,-2.8686106204986572,-2.925478458404541,-2.9231796264648438
-3.2738289833068848,-2.942676544189453,-3.0078747272491455,-3.0103023052215576
-2.709731340408325,-2.6664252281188965,-2.9426000118255615,-2.910761833190918
-3.0511269569396973,-2.900747776031494,-2.7598581314086914,-2.9377081394195557
-2.7472259998321533,-2.9476585388183594,-3.0664443969726562,-3.06512451171875
-2.8727428913116455,-2.9959137439727783,-2.8367459774017334,-2.8848612308502197
-3.4526805877685547,-3.0668671131134033,-3.5058205127716064,-3.6040005683898926
-3.0640206336975098,-3.354487657546997,-3.3954646587371826,-2.926619529724121
-3.239403486251831,-3.227811574935913,-2.663604974746704,-2.5306661128997803
-3.4450435638427734,-2.812126398086548,-2.9258241653442383,-3.446225643157959
-3.127798318862915,-2.897366762161255,-3.0796027183532715,-2.693836212158203
-2.8187294006347656,-2.827049970626831,-2.788513660430908,-2.8597185611724854
-3.1911685466766357,-2.91178035736084,-2.552243947982788,-2.667856216430664
-2.972834825515747,-2.9905617237091064,-2.928877115249634,-2.9143080711364746
-2.987266778945923,-2.598618984222412,-2.7279951572418213,-3.007237195968628
-2.6070568561553955,-2.7960519790649414,-3.1299915313720703,-3.643315315246582
-3.2372100353240967,-3.3547568321228027,-3.262932062149048,-3.274467706680298
-2.8523221015930176,-2.938530206680298,-2.912402629852295,-3.5373189449310303
-2.875079393386841,-2.762787103652954,-2.8297617435455322,-2.8754019737243652
-2.6897237300872803,-2.802595853805542,-3.142638921737671,-2.6882944107055664
-2.9015073776245117,-3.0572502613067627,-3.315471887588501,-2.7137458324432373
-3.257166624069214,-3.275533676147461,-2.9492645263671875,-2.5476138591766357
-2.644310235977173,-2.683793306350708,-2.9921860694885254,-2.9141860008239746
-3.132350444793701,-3.0911500453948975,-2.7933225631713867,-3.2889397144317627
-2.619161605834961,-3.056267261505127,-2.985469341278076,-2.82700514793396
-2.826796770095825,-2.7900872230529785,-2.9212303161621094,-2.7006163597106934
-2.7478017807006836,-3.21901798248291,-2.8663649559020996,-2.607219934463501
