nll_0,nll_1,nll_2,nll_3
-4.5775837898254395,-6.399662494659424,-4.1154465675354,-5.033820629119873
-4.92326021194458,-5.237950325012207,-4.2538604736328125,-4.267645359039307
-4.080550193786621,-4.175267219543457,-3.9142067432403564,-5.168651103973389
-4.8290324211120605,-6.021067142486572,-4.449404716491699,-4.712357997894287
-4.287694931030273,-4.011419773101807,-4.404229164123535,-4.002514362335205
-6.9280104637146,-4.680046558380127,-4.667449474334717,-5.311664581298828
-3.251556634902954,-3.705810546875,-2.8583390712738037,-3.9069623947143555
-5.7268757820129395,-4.730008602142334,-3.8281469345092773,-3.3093178272247314
-3.9844350814819336,-3.246507406234741,-3.534517765045166,-5.849653244018555
-4.48187780380249,-4.864350318908691,-4.078608512878418,-4.973135471343994
-3.7560207843780518,-3.2136716842651367,-3.9954605102539062,-3.478224754333496
-4.284055233001709,-4.045367240905762,-4.8008623123168945,-3.8627870082855225
-4.289025783538818,-3.5934336185455322,-5.499986171722412,-4.557934761047363
-4.254029750823975,-3.8274974822998047,-3.8794209957122803,-3.268800735473633
-4.7548370361328125,-5.124166011810303,-4.016167163848877,-4.667137145996094
-4.369922161102295,-3.447439670562744,-4.185801029205322,-3.9383544921875
-4.327634811401367,-3.42761492729187,-3.0151093006134033,-2.8882319927215576
-4.381599426269531,-4.8002424240112305,-3.7805910110473633,-4.021591663360596
-4.245361804962158,-5.68336296081543,-5.12548828125,-4.600549221038818
-2.9672951698303223,-2.934034824371338,-3.8017821311950684,-3.688965320587158
-4.501351356506348,-6.07567834854126,-4.6581244468688965,-3.616940498352051
-3.022686243057251,-4.3057732582092285,-4.4339494705200195,-2.338747978210449
-5.440950870513916,-6.146235466003418,-5.127308368682861,-5.623669147491455
-3.071272134780884,-4.427864074707031,-4.314544677734375,-2.9856796264648438
-4.650640487670898,-4.795151710510254,-4.825301647186279,-4.250024318695068
-4.564577579498291,-4.364017009735107,-4.308593273162842,-4.013757705688477
-3.9958925247192383,-4.629409313201904,-5.580557823181152,-4.5517354011535645
-3.259223699569702,-4.335505962371826,-4.3911943435668945,-3.8987364768981934
-3.9468414783477783,-4.360994815826416,-6.015769958496094,-4.888143539428711
-4.722092151641846,-5.639422416687012,-4.164458274841309,-4.007933139801025
