nll_0,nll_1,nll_2,nll_3
-4.494853496551514,-6.413963794708252,-3.3697359561920166,-5.380337715148926
-5.096888065338135,-5.773488521575928,-4.420710563659668,-4.298111915588379
-3.752610445022583,-4.326964855194092,-3.8614583015441895,-5.0247979164123535
-4.7868876457214355,-6.036941051483154,-4.3898606300354,-5.002699851989746
-4.006711483001709,-3.835232973098755,-4.316709995269775,-4.2953948974609375
-6.799346923828125,-4.54213809967041,-4.338445663452148,-5.797227382659912
-3.310014009475708,-3.150269031524658,-3.0096375942230225,-4.098832607269287
-5.141942024230957,-4.35151481628418,-3.608672857284546,-3.2230281829833984
-3.8998539447784424,-3.1215286254882812,-3.435757875442505,-6.1580491065979
-4.480295658111572,-4.977059841156006,-3.996332883834839,-5.017796516418457
-3.5048162937164307,-3.1541733741760254,-4.638951301574707,-3.323045253753662
-4.057911396026611,-4.2588300704956055,-4.535829067230225,-3.7746472358703613
-4.774458408355713,-3.4129016399383545,-4.765272617340088,-4.690139293670654
-4.818701267242432,-3.661027431488037,-3.7948601245880127,-3.1704561710357666
-4.630890369415283,-5.262790679931641,-4.18061637878418,-4.267235279083252
-4.564546585083008,-3.499018669128418,-4.104256629943848,-3.5895004272460938
-4.328895092010498,-3.8874945640563965,-3.0556085109710693,-3.044175148010254
-4.519299030303955,-4.694894790649414,-3.4563167095184326,-4.197287559509277
-4.354288578033447,-5.450345039367676,-5.323144912719727,-4.616926670074463
-3.1161255836486816,-3.1194143295288086,-3.772109031677246,-4.0133562088012695
-4.385080814361572,-5.924643039703369,-4.256866455078125,-3.7605292797088623
-3.299983263015747,-4.374924182891846,-4.666413307189941,-2.270071506500244
-5.173823833465576,-6.456162452697754,-5.964370250701904,-5.160057544708252
-3.315315008163452,-4.397610187530518,-4.002400875091553,-2.890073537826538
-4.174765110015869,-4.759241580963135,-4.709885120391846,-4.53512716293335
-4.685462951660156,-4.2837982177734375,-4.521432399749756,-4.050202369689941
-3.7854206562042236,-4.5828328132629395,-5.448460578918457,-4.219589710235596
-3.240429401397705,-5.2411322593688965,-4.5035834312438965,-3.844571828842163
-3.8921782970428467,-4.426158905029297,-5.873594760894775,-4.63490104675293
-4.653800010681152,-5.46715784072876,-4.437129497528076,-3.6009521484375
-3.327472686767578,-4.286635875701904,-3.7685694694519043,-3.7857306003570557
-4.524878025054932,-4.001231670379639,-4.411516189575195,-3.894063949584961
-4.691388130187988,-3.9950926303863525,-5.0193915367126465,-4.533957481384277
-3.7740912437438965,-3.2478232383728027,-4.81217622756958,-4.601987361907959
-3.8418095111846924,-3.9092190265655518,-5.578807830810547,-3.7573585510253906
-3.967707395553589,-4.635397911071777,-5.868508338928223,-5.544876575469971
-5.78761625289917,-5.454006671905518,-4.301168441772461,-3.751840591430664
-4.988982200622559,-5.100650310516357,-4.036905288696289,-4.157804012298584
-4.856369972229004,-3.8083086013793945,-4.304435729980469,-4.867547035217285
-5.893237590789795,-3.9639673233032227,-4.820940971374512,-4.384556293487549
-3.576070547103882,-4.668437957763672,-4.292819499969482,-4.532344341278076
-3.9078171253204346,-5.6248626708984375,-3.7265803813934326,-4.942860126495361
-3.3840973377227783,-5.261210918426514,-3.3413946628570557,-3.295943021774292
-4.153118133544922,-4.340959072113037,-3.403636932373047,-4.466119289398193
-3.9676990509033203,-3.816047191619873,-5.424391746520996,-4.916972637176514
-3.2397139072418213,-4.707338809967041,-7.183321952819824,-5.49528169631958
-3.382862091064453,-3.3315486907958984,-4.029086112976074,-4.623941421508789
-4.410083770751953,-3.8506853580474854,-5.116552829742432,-4.360835075378418
-3.3588290214538574,-4.265891075134277,-2.908909320831299,-4.314802169799805
-5.84975528717041,-5.051784515380859,-3.9050395488739014,-5.163785457611084
-5.213348865509033,-5.306497573852539,-5.606292247772217,-5.212708473205566
-4.592440605163574,-4.387058734893799,-3.5220084190368652,-4.784317970275879
-5.997617721557617,-4.133098125457764,-4.16723108291626,-3.8635056018829346
