nll_0,nll_1,nll_2,nll_3
-4.633610248565674,-7.2070794105529785,-3.2494568824768066,-5.240531921386719
-5.298337936401367,-5.864151954650879,-4.519576072692871,-4.566946983337402
-3.6764729022979736,-4.636015892028809,-3.3592233657836914,-5.412214279174805
-4.596280574798584,-5.69402551651001,-4.180237293243408,-5.270272731781006
-4.101505756378174,-4.136982440948486,-4.686455726623535,-4.547633647918701
-6.2508063316345215,-4.385854721069336,-4.711292266845703,-5.373392105102539
-3.567754030227661,-3.4100253582000732,-3.2111077308654785,-4.219886779785156
-4.8890581130981445,-4.127730846405029,-3.8578109741210938,-4.482038497924805
-4.096885681152344,-2.9376885890960693,-3.723357677459717,-5.537333965301514
-4.3811516761779785,-4.720640659332275,-4.174276351928711,-4.753831386566162
-3.6096458435058594,-3.3331804275512695,-4.140170574188232,-3.5832011699676514
-4.55168342590332,-4.153174877166748,-4.593415260314941,-3.5790445804595947
-4.751125812530518,-3.438549757003784,-4.711162567138672,-4.656858921051025
-5.172798156738281,-3.69976544380188,-3.645899534225464,-3.3474483489990234
-5.0071306228637695,-5.552995681762695,-4.090747356414795,-5.045095920562744
-5.074167251586914,-3.3205294609069824,-4.187505722045898,-3.6900014877319336
-4.424428462982178,-3.8750624656677246,-2.709186315536499,-3.059666633605957
-3.9250564575195312,-4.639873504638672,-3.29007887840271,-4.000423431396484
-4.516890525817871,-4.841731071472168,-6.156822681427002,-5.131763458251953
-3.315690517425537,-3.0933876037597656,-4.157201290130615,-3.896439790725708
-4.619002819061279,-5.780797481536865,-4.579388618469238,-4.285655498504639
-3.4125592708587646,-4.5152363777160645,-4.545779228210449,-2.248291254043579
-5.198653697967529,-6.532530784606934,-6.4102301597595215,-5.4753336906433105
-3.447880983352661,-4.4770612716674805,-4.442162036895752,-3.0063111782073975
-3.996922492980957,-4.851371765136719,-4.694244384765625,-4.497393608093262
-4.648099422454834,-4.150319576263428,-4.441842555999756,-4.142242908477783
-3.6011548042297363,-5.13247537612915,-5.638335227966309,-4.188912868499756
-3.8131701946258545,-4.973991394042969,-5.212652206420898,-3.67421817779541
-3.993819236755371,-4.724585056304932,-5.944314956665039,-5.499609470367432
-4.709756374359131,-5.682342052459717,-4.916133403778076,-4.236242771148682
-3.8465781211853027,-5.117771148681641,-3.5951004028320312,-3.864133596420288
-4.822084903717041,-4.376981258392334,-4.06112813949585,-3.9650585651397705
-4.6831254959106445,-4.140260696411133,-5.0307230949401855,-4.597959995269775
-3.754647970199585,-3.867922067642212,-4.694826602935791,-4.458328723907471
-3.6736462116241455,-3.8857388496398926,-5.011826992034912,-4.196803569793701
-4.044999599456787,-4.385201454162598,-5.448247909545898,-5.888552188873291
-6.030616283416748,-5.1321916580200195,-4.8999104499816895,-3.9133052825927734
-5.828137397766113,-5.056252479553223,-4.006568431854248,-3.851224899291992
-5.801741123199463,-3.2418994903564453,-4.641330718994141,-5.339783668518066
-5.856966495513916,-4.530211448669434,-4.811283111572266,-4.349803447723389
-3.956169366836548,-4.762408256530762,-4.0190911293029785,-4.7497758865356445
-3.9467995166778564,-5.974089622497559,-4.03043270111084,-4.8739542961120605
-3.836613178253174,-5.5802459716796875,-3.476656198501587,-3.086233377456665
-4.0026445388793945,-5.074459552764893,-3.478288412094116,-4.599277973175049
-4.169412612915039,-4.412928104400635,-5.130836486816406,-5.1638407707214355
-2.824082851409912,-4.941781520843506,-7.35383415222168,-5.549019813537598
-3.0490870475769043,-3.6815009117126465,-4.2824015617370605,-4.750635623931885
-4.5401201248168945,-3.828528642654419,-5.265425205230713,-4.264610290527344
-3.6468684673309326,-4.997316360473633,-3.0005691051483154,-4.176470756530762
-6.315074920654297,-5.251508712768555,-3.6891908645629883,-5.823846340179443
-4.88578462600708,-5.331374645233154,-5.274233341217041,-5.102065563201904
-4.660637855529785,-4.876964092254639,-3.7125585079193115,-5.246744155883789
-6.370489120483398,-3.640075922012329,-4.12543249130249,-4.235729217529297
-3.7607359886169434,-4.178525924682617,-4.416714668273926,-4.046812057495117
-4.390914440155029,-4.199460029602051,-3.4778733253479004,-4.276888370513916
-3.4459667205810547,-3.253467082977295,-4.177574157714844,-3.6612794399261475
-4.1141157150268555,-5.5155930519104,-3.9293432235717773,-4.884535312652588
-5.968252658843994,-4.179088592529297,-4.943920135498047,-4.507210731506348
-4.025784015655518,-5.247903347015381,-4.374285697937012,-3.821174144744873
-4.676313877105713,-4.292253494262695,-3.187971830368042,-3.3986191749572754
-6.002233505249023,-4.224799156188965,-3.738316774368286,-5.5933732986450195
-5.562436103820801,-3.6859521865844727,-4.928544044494629,-3.7224905490875244
-4.34151554107666,-3.6966769695281982,-4.215056419372559,-4.008544445037842
-5.64732027053833,-5.003502368927002,-3.284756660461426,-3.934303045272827
-4.527801513671875,-3.9420905113220215,-3.9793593883514404,-3.918145179748535
-4.227966785430908,-3.1120357513427734,-4.002786159515381,-3.9020931720733643
-3.4394495487213135,-4.190854072570801,-6.029686450958252,-5.755493640899658
-4.798733234405518,-5.779433727264404,-5.155995845794678,-4.705215930938721
-3.353137731552124,-3.7744390964508057,-4.244686126708984,-5.144046783447266
-3.898935556411743,-3.6853690147399902,-5.602768421173096,-4.060194969177246
-3.1103577613830566,-4.148179054260254,-3.805026054382324,-3.435394287109375
-4.4294047355651855,-4.561228275299072,-3.991537094116211,-3.54227614402771
-4.160632133483887,-5.382118225097656,-4.193207740783691,-2.784695625305176
-3.5939552783966064,-5.020112037658691,-3.855849266052246,-4.640049934387207
-4.50338077545166,-4.914276599884033,-3.8305771350860596,-3.712520122528076
-3.3835649490356445,-4.488206386566162,-4.533793926239014,-4.28521728515625
-4.493987083435059,-4.228378772735596,-4.915585517883301,-3.563053846359253
-3.763798236846924,-4.976035118103027,-5.644968032836914,-3.8620266914367676
-5.4367265701293945,-6.573192119598389,-4.216599941253662,-4.571179389953613
-3.974273920059204,-6.032808780670166,-4.773360252380371,-6.070867538452148
-3.7855403423309326,-3.9434030055999756,-3.537855386734009,-4.005837440490723
-4.1411566734313965,-4.397586345672607,-4.224930763244629,-3.6391243934631348
-3.006434202194214,-3.793151378631592,-4.020025730133057,-3.7184295654296875
-3.24576735496521,-3.216035842895508,-4.355203151702881,-3.313405990600586
-4.577579498291016,-5.037691593170166,-3.890422821044922,-4.910186290740967
-3.5778868198394775,-4.03041410446167,-4.527568340301514,-4.618998050689697
-4.711380958557129,-3.3000380992889404,-4.246971607208252,-5.320821762084961
-2.9538702964782715,-4.054591655731201,-4.219443321228027,-3.9976258277893066
-4.0593743324279785,-5.310328960418701,-4.1553635597229,-5.72512674331665
-3.7361440658569336,-4.439099311828613,-3.3814799785614014,-3.3940396308898926
-6.0542073249816895,-4.326419830322266,-4.643783092498779,-5.057461261749268
-4.269192695617676,-4.884075164794922,-4.577780723571777,-3.1870665550231934
-4.533604621887207,-3.558541774749756,-3.9854958057403564,-4.824631690979004
-3.8095626831054688,-5.917500972747803,-3.8276209831237793,-3.006399631500244
-4.724591255187988,-3.991004228591919,-4.01231050491333,-4.6332902908325195
-4.484996795654297,-4.223031520843506,-5.129108428955078,-3.6229965686798096
-4.094747543334961,-4.104033470153809,-5.370379447937012,-2.8305234909057617
-4.361611366271973,-4.858035087585449,-3.6149399280548096,-4.055911064147949
-3.896244525909424,-4.018133640289307,-4.009824752807617,-4.785670757293701
-4.605774402618408,-4.243789196014404,-4.233048915863037,-3.905897617340088
-4.407504558563232,-4.262214183807373,-3.938509225845337,-5.066036701202393
-5.764382839202881,-3.737478494644165,-3.7141482830047607,-5.268491268157959
-3.2487542629241943,-3.6555542945861816,-4.502910137176514,-3.6886792182922363
-4.006775379180908,-4.165424823760986,-3.48396897315979,-3.9297213554382324
-4.159398078918457,-4.641117095947266,-5.474020004272461,-4.97003173828125
-6.672358512878418,-4.7105536460876465,-4.599067687988281,-3.9409735202789307
-4.440272331237793,-3.6529815196990967,-3.5038838386535645,-5.324129104614258
-4.008157253265381,-4.532827377319336,-4.469062328338623,-3.4781320095062256
-4.649505615234375,-5.048164367675781,-3.738062620162964,-6.2069411277771
-4.755852222442627,-3.8532633781433105,-5.377020359039307,-6.680354595184326
-4.890057563781738,-4.387483596801758,-5.2896528244018555,-5.932302474975586
-4.531935214996338,-4.628451347351074,-3.8638181686401367,-3.708455801010132
-4.101476192474365,-4.7251081466674805,-3.9277994632720947,-6.292880535125732
-4.726236820220947,-5.2242431640625,-3.6488709449768066,-3.778496265411377
-3.1436405181884766,-5.387069225311279,-3.9873597621917725,-5.486919403076172
-4.064327716827393,-5.7610697746276855,-4.999870300292969,-5.055019855499268
-3.9083709716796875,-3.3230581283569336,-3.965728521347046,-3.879517078399658
-3.483365535736084,-3.534524440765381,-3.4615416526794434,-2.386392831802368
-3.779284715652466,-3.7824172973632812,-4.161801338195801,-3.92061185836792
-5.003634452819824,-4.336383819580078,-3.338369846343994,-5.439491271972656
-5.888352394104004,-5.291378498077393,-4.567530632019043,-4.680561065673828
-3.8194680213928223,-5.324504375457764,-3.9314351081848145,-3.663583517074585
-4.953749179840088,-2.280637741088867,-4.341951847076416,-4.094892501831055
-5.329495906829834,-4.3238420486450195,-3.488654375076294,-4.6931633949279785
-4.400548934936523,-3.7700436115264893,-4.070016860961914,-5.142629623413086
-3.6650807857513428,-4.466881275177002,-4.868954181671143,-4.908142566680908
-4.099252700805664,-3.3850743770599365,-4.356924057006836,-3.1572296619415283
-4.082706451416016,-3.855544090270996,-4.692966461181641,-4.094969749450684
-5.088371753692627,-3.835613250732422,-2.1583356857299805,-3.9411323070526123
-6.5315423011779785,-3.93635630607605,-4.87967586517334,-4.873733997344971
-4.718756198883057,-4.477633476257324,-4.182201862335205,-3.6038928031921387
-4.314279556274414,-3.740933656692505,-4.706498622894287,-2.560447931289673
-2.9651713371276855,-5.244330883026123,-5.467006206512451,-6.313439846038818
-5.355673313140869,-4.558752059936523,-6.152507305145264,-4.95945930480957
-4.635321617126465,-4.5772318840026855,-3.614901065826416,-3.5899505615234375
-4.321202278137207,-4.398934841156006,-7.787607669830322,-6.736735820770264
-6.089524745941162,-4.902365207672119,-5.6294121742248535,-4.490289688110352
-3.4480369091033936,-4.2901506423950195,-4.339136600494385,-3.960261106491089
-6.53531551361084,-5.968041896820068,-5.732104301452637,-4.755351543426514
-5.345886707305908,-5.550072193145752,-4.940253734588623,-7.212578773498535
-4.508111476898193,-3.4660282135009766,-4.001480579376221,-4.562839031219482
-4.6571431159973145,-4.39051628112793,-4.428077220916748,-2.7726354598999023
-3.7559804916381836,-3.0846176147460938,-4.947356700897217,-4.0767927169799805
-5.2441325187683105,-3.196007013320923,-4.430861473083496,-4.706655025482178
-5.613423824310303,-5.965935230255127,-4.842515468597412,-5.764612197875977
-5.359129428863525,-5.108452320098877,-2.964670419692993,-3.99715518951416
-3.930928945541382,-4.745649337768555,-2.958216667175293,-3.3199856281280518
-4.1505913734436035,-4.0188164710998535,-4.029595375061035,-5.507950782775879
-3.4533257484436035,-4.097146034240723,-4.622824668884277,-3.973598003387451
