nll_0,nll_1,nll_2,nll_3
-4.573287010192871,-6.862670421600342,-3.7496156692504883,-5.015026569366455
-5.195277690887451,-5.380938529968262,-4.683088302612305,-3.9788739681243896
-4.00523042678833,-4.2400336265563965,-3.5937252044677734,-4.8900980949401855
-5.005699157714844,-5.969165325164795,-3.961940050125122,-4.963676929473877
-4.280797481536865,-4.3622260093688965,-4.703044891357422,-4.568937301635742
-6.251561641693115,-4.160383224487305,-4.60514497756958,-5.56546688079834
-3.3482742309570312,-3.7262439727783203,-4.482500076293945,-4.940464019775391
-6.438064098358154,-5.643299579620361,-4.219151020050049,-3.9259090423583984
-4.012673854827881,-3.3395743370056152,-3.655820369720459,-6.2111592292785645
-4.722191333770752,-4.7191386222839355,-3.9990687370300293,-4.90593957901001
-3.699061393737793,-3.394397258758545,-5.014564037322998,-3.7916581630706787
-4.95538330078125,-4.038912296295166,-5.196980953216553,-4.168508529663086
-4.035192012786865,-3.546781539916992,-3.885901927947998,-5.052729606628418
-4.595002174377441,-4.080655574798584,-3.688591718673706,-3.307427167892456
-4.31456995010376,-4.9785590171813965,-4.797826290130615,-4.624557971954346
-4.587687015533447,-3.514768362045288,-4.298670768737793,-4.205317497253418
-4.2261061668396,-3.741542100906372,-3.1638975143432617,-3.2826035022735596
-4.765491962432861,-5.037541389465332,-3.516430377960205,-4.465296745300293
-4.9895100593566895,-5.761162281036377,-4.9086785316467285,-4.874554634094238
-3.401812791824341,-3.519845962524414,-3.778141736984253,-3.735567331314087
-5.118633270263672,-5.8625383377075195,-4.444872856140137,-3.8991856575012207
-3.6726105213165283,-5.1045708656311035,-4.377429008483887,-2.564650774002075
-5.093489170074463,-5.827847957611084,-4.7548418045043945,-5.733780860900879
-3.2600700855255127,-4.311745643615723,-3.6465868949890137,-3.1976850032806396
-4.683133602142334,-4.5623273849487305,-5.248263835906982,-4.416867256164551
-4.735737323760986,-4.742349624633789,-4.694638252258301,-4.014204502105713
-4.388514995574951,-4.348668575286865,-4.555165767669678,-4.317008018493652
-3.5839896202087402,-4.254223346710205,-4.157713890075684,-3.5277903079986572
-4.3148298263549805,-4.511059761047363,-5.715230464935303,-4.817126274108887
-4.737578392028809,-4.959629058837891,-5.045642852783203,-3.7426071166992188
-3.278331995010376,-4.2077131271362305,-3.9400758743286133,-3.9964473247528076
-4.760030269622803,-4.932006359100342,-4.795760154724121,-4.007449626922607
-4.809296607971191,-4.145863056182861,-5.274168491363525,-4.710725784301758
-3.9005565643310547,-4.3093414306640625,-4.675168037414551,-5.012392997741699
-4.064226150512695,-3.52544903755188,-5.277306079864502,-4.073484897613525
-4.2055182456970215,-4.371492385864258,-5.148672580718994,-5.303956985473633
-5.395290851593018,-4.675365924835205,-4.908614158630371,-3.96173357963562
-5.400272369384766,-6.687408447265625,-5.087176322937012,-4.118765830993652
-6.191310405731201,-4.68325662612915,-4.717533111572266,-5.4014201164245605
-6.093203067779541,-4.42252779006958,-5.016355037689209,-4.93040132522583
-4.192475318908691,-5.326664924621582,-4.970122814178467,-5.011134147644043
-3.999441146850586,-5.719017028808594,-4.614211559295654,-5.497624397277832
-3.684417486190796,-5.72887659072876,-3.445793867111206,-3.886505126953125
-4.292657375335693,-5.200740337371826,-4.206912994384766,-4.824498653411865
-4.720067501068115,-4.516079902648926,-6.1560444831848145,-5.777908802032471
-3.8337111473083496,-4.82792854309082,-7.3889641761779785,-6.120450019836426
-3.520792007446289,-3.61567759513855,-4.1687703132629395,-4.177786350250244
-5.4127583503723145,-3.96154522895813,-5.192375659942627,-4.749152183532715
-4.03244161605835,-5.073112487792969,-3.3653266429901123,-4.669397830963135
-6.6345696449279785,-5.077088832855225,-4.65038537979126,-5.310089111328125
-4.9716796875,-5.012148380279541,-4.896605968475342,-4.984638214111328
-4.912929058074951,-4.727358818054199,-3.533696413040161,-4.56771183013916
-6.102756023406982,-4.415510654449463,-4.5454325675964355,-3.858616352081299
-4.222449779510498,-4.313529014587402,-4.835269451141357,-4.9865593910217285
-4.837809085845947,-4.6455278396606445,-3.831056833267212,-3.7400949001312256
-3.408898115158081,-4.119893550872803,-6.549339294433594,-4.656101703643799
-4.435496807098389,-6.1365790367126465,-3.8208134174346924,-4.300985813140869
-5.484107971191406,-4.404364109039307,-5.1819329261779785,-4.276413917541504
