nll_0,nll_1,nll_2,nll_3
-4.219631195068359,-7.985424041748047,-3.371347188949585,-5.759428024291992
-5.639918804168701,-6.3459954261779785,-4.611176490783691,-4.452963829040527
-3.6854560375213623,-4.428521633148193,-3.9257307052612305,-5.0071516036987305
-5.242125988006592,-6.869307994842529,-4.6394429206848145,-5.619443893432617
-4.596818923950195,-4.845099449157715,-4.599287986755371,-4.76879358291626
-8.117586135864258,-5.283461093902588,-4.181183338165283,-5.7118120193481445
-3.2366888523101807,-3.290786027908325,-3.762169122695923,-4.315659046173096
-5.691342830657959,-4.466378688812256,-3.136063575744629,-3.680682420730591
-3.877519369125366,-3.125908613204956,-4.190315246582031,-5.635559558868408
-4.9928879737854,-5.070627689361572,-4.072330474853516,-5.140265464782715
-3.6941072940826416,-3.133476734161377,-4.802318572998047,-3.3359169960021973
-4.474151134490967,-4.349794387817383,-5.078981876373291,-4.125848293304443
-5.064974308013916,-4.349721431732178,-5.337693691253662,-4.81350564956665
-5.192394733428955,-4.0194411277771,-4.001412391662598,-3.6290290355682373
-4.916079521179199,-5.446151256561279,-4.3644208908081055,-4.93928861618042
-5.030166149139404,-3.4903249740600586,-3.998626708984375,-3.7156240940093994
-4.447110176086426,-3.790149450302124,-3.2475688457489014,-3.595210075378418
-5.056530952453613,-4.771328926086426,-3.4393041133880615,-4.13496732711792
-4.457576751708984,-5.8849005699157715,-5.621859073638916,-4.769070625305176
-3.6759347915649414,-3.53735089302063,-4.438868045806885,-3.928966522216797
-4.714698791503906,-6.155252933502197,-4.538785457611084,-3.7625155448913574
-3.2965521812438965,-4.567282676696777,-4.434618949890137,-2.279752254486084
-5.888363361358643,-6.4526591300964355,-6.588249206542969,-5.514636039733887
-3.2966697216033936,-4.465980052947998,-4.391209602355957,-3.730595350265503
-3.949310302734375,-4.906155109405518,-5.054426670074463,-4.769535064697266
-4.773019313812256,-4.658323287963867,-4.546788692474365,-4.1541852951049805
-3.8924145698547363,-4.390726566314697,-5.524317264556885,-4.226582050323486
-3.6469757556915283,-5.939751148223877,-5.218081474304199,-4.086982727050781
-4.300419807434082,-4.195986270904541,-6.014091968536377,-4.755249500274658
-4.88482666015625,-6.2407989501953125,-4.438539028167725,-4.54188871383667
-4.089169979095459,-5.490142345428467,-4.538797378540039,-4.160795211791992
-5.2764081954956055,-4.925134658813477,-4.97012186050415,-4.075714588165283
-4.705461025238037,-4.865196228027344,-5.405910491943359,-4.65470027923584
-3.949310302734375,-3.8908512592315674,-4.883462429046631,-5.0356879234313965
-3.6868982315063477,-4.217771053314209,-6.003256797790527,-3.908656597137451
-4.1307549476623535,-4.878470420837402,-5.685716152191162,-5.3995842933654785
-5.489658355712891,-5.269444465637207,-4.880509376525879,-3.7499518394470215
-5.037703514099121,-4.341047763824463,-4.19392728805542,-3.9521377086639404
-5.414892673492432,-4.40813684463501,-4.596965789794922,-5.543951034545898
-6.451552867889404,-4.5720133781433105,-4.948061943054199,-4.579677104949951
-3.7571144104003906,-4.819911479949951,-4.465272426605225,-4.933569431304932
-4.201798439025879,-5.836646556854248,-3.823988437652588,-5.5107598304748535
-3.581505060195923,-5.351853370666504,-3.666215658187866,-3.9082131385803223
-4.287403583526611,-5.631740570068359,-4.142352104187012,-4.974720478057861
-4.2540154457092285,-4.2176642417907715,-5.647924423217773,-5.48213005065918
-3.303494930267334,-4.328543663024902,-7.407947063446045,-5.237748146057129
-3.3410770893096924,-3.7844974994659424,-4.268411636352539,-4.650230407714844
-4.792261600494385,-3.915445327758789,-5.053963661193848,-4.3582892417907715
-3.869626760482788,-4.628878593444824,-3.1618263721466064,-4.438279628753662
-6.999026775360107,-5.631332874298096,-4.146389484405518,-6.417212009429932
-4.8638482093811035,-4.861142158508301,-5.35023832321167,-4.9873223304748535
-4.892666816711426,-4.4598774909973145,-3.8859987258911133,-5.327031135559082
-6.528714656829834,-4.436839580535889,-4.329662799835205,-4.12766695022583
-3.515864133834839,-4.05897855758667,-4.9133782386779785,-4.18978214263916
-4.594024181365967,-4.853888511657715,-3.622955560684204,-4.756406784057617
-2.8975961208343506,-3.18552303314209,-4.280716419219971,-4.315765380859375
-4.698089122772217,-5.829699993133545,-3.7930068969726562,-4.524263381958008
-5.841391086578369,-4.138483047485352,-4.933075904846191,-4.462944984436035
-4.0177435874938965,-5.038269519805908,-4.391026496887207,-4.0506486892700195
-4.260443210601807,-4.229917526245117,-3.2754948139190674,-3.236375570297241
-5.81298828125,-4.711739540100098,-3.5063700675964355,-4.968156337738037
-5.918313026428223,-4.727055072784424,-5.382946014404297,-3.593477487564087
-4.190039157867432,-3.696594476699829,-4.394819259643555,-4.457437515258789
-5.597870826721191,-6.160447120666504,-3.5944721698760986,-3.945427656173706
-4.793491840362549,-3.8869287967681885,-4.1962432861328125,-3.8382225036621094
-4.370456218719482,-3.3674960136413574,-4.1460041999816895,-4.277390956878662
-3.7019951343536377,-4.509735584259033,-5.680495738983154,-6.0066022872924805
-5.537845611572266,-7.185316562652588,-5.513056755065918,-4.777999401092529
-3.6350157260894775,-3.936779260635376,-4.813832759857178,-4.847936153411865
-4.840621471405029,-3.780031204223633,-5.78171968460083,-4.409728050231934
-3.6409177780151367,-4.219501972198486,-4.023294925689697,-3.329191207885742
-3.9306678771972656,-4.521449565887451,-4.129917621612549,-3.9845492839813232
-4.492392539978027,-5.449822425842285,-4.252775192260742,-2.763795852661133
-3.9284024238586426,-5.4758405685424805,-4.070042610168457,-4.332655429840088
-4.7595977783203125,-5.013998031616211,-4.519479751586914,-4.615728378295898
-4.335591793060303,-4.322357654571533,-5.492431640625,-4.445746898651123
-5.027324676513672,-4.544313907623291,-5.530097961425781,-4.110352993011475
-5.223137855529785,-5.477663993835449,-6.263153553009033,-3.828392505645752
-5.062945365905762,-5.922449111938477,-3.9492313861846924,-4.351686477661133
-4.565878868103027,-6.7733683586120605,-4.692871570587158,-6.705226898193359
-4.039985179901123,-4.332831859588623,-3.594618082046509,-3.873236656188965
-4.230909824371338,-4.788222789764404,-4.2166547775268555,-4.108766078948975
-2.9969727993011475,-3.4766883850097656,-3.7611944675445557,-3.624286651611328
-4.026059150695801,-3.6482949256896973,-4.624545097351074,-3.675738573074341
-4.411464214324951,-5.163358688354492,-3.661958932876587,-5.371456623077393
-3.455963611602783,-4.214565753936768,-4.8850417137146,-4.704198360443115
-5.058248519897461,-3.6163277626037598,-4.868910312652588,-5.470157623291016
-2.988417148590088,-4.430608749389648,-4.475540637969971,-3.8749518394470215
-4.538643836975098,-5.49582052230835,-4.029116630554199,-5.089267730712891
-3.8770909309387207,-4.473428249359131,-3.7537667751312256,-3.5886828899383545
-6.648060321807861,-4.9236159324646,-4.442463397979736,-5.5078935623168945
-4.358892917633057,-4.793417930603027,-5.1298346519470215,-3.491490364074707
-5.205705642700195,-3.82694411277771,-4.196184158325195,-4.951080322265625
-4.008622646331787,-6.113570690155029,-3.5753653049468994,-3.013721227645874
-5.017834186553955,-4.629462718963623,-3.9093501567840576,-4.560149669647217
-5.432755470275879,-4.323835849761963,-4.997163772583008,-4.412583351135254
-4.351491451263428,-4.01776647567749,-5.510256767272949,-2.9186270236968994
-4.758995532989502,-4.494883060455322,-3.642683744430542,-4.276601791381836
-3.9520349502563477,-4.394789695739746,-4.284434795379639,-4.798041343688965
-4.651401996612549,-4.713954448699951,-4.362023830413818,-5.014201641082764
-4.290079593658447,-4.179255962371826,-4.24373722076416,-4.758078098297119
-5.607728958129883,-3.7253379821777344,-4.284392833709717,-5.426772117614746
-3.3888609409332275,-3.8020477294921875,-4.905979156494141,-3.8604791164398193
-4.240535259246826,-3.7728254795074463,-3.84747314453125,-4.599197864532471
-4.028149604797363,-5.444326400756836,-6.112945079803467,-5.000040531158447
-7.098315715789795,-5.278136253356934,-4.773131847381592,-4.098541736602783
-4.426443576812744,-3.6085691452026367,-3.9128081798553467,-5.323853969573975
-3.702698230743408,-4.447378635406494,-3.7801413536071777,-3.0869288444519043
-5.455530643463135,-5.14177131652832,-3.7852060794830322,-6.2925214767456055
-4.016865253448486,-4.622214317321777,-5.85329008102417,-6.916087627410889
-4.536793231964111,-4.41841459274292,-5.834339141845703,-5.741233825683594
-4.449173927307129,-4.725514888763428,-4.136474609375,-3.744649887084961
-4.789140224456787,-5.589147567749023,-4.934431076049805,-6.022189617156982
-5.562230110168457,-6.043785095214844,-4.086730480194092,-4.391512393951416
-3.6736700534820557,-4.658577919006348,-4.450601100921631,-5.126770496368408
-5.109960079193115,-6.213207721710205,-4.897922992706299,-5.16571044921875
-4.741797924041748,-3.4318506717681885,-4.466183185577393,-4.093749046325684
-3.69880747795105,-3.591388702392578,-3.6175169944763184,-2.9714200496673584
-4.168435096740723,-3.5452170372009277,-4.8360114097595215,-3.903294324874878
-4.824155330657959,-4.592247486114502,-3.6690831184387207,-5.724132061004639
-5.6114678382873535,-5.116021156311035,-4.824268817901611,-4.853402137756348
-3.8620445728302,-6.0157012939453125,-3.802460193634033,-4.2387776374816895
