nll_0,nll_1,nll_2,nll_3
-4.576746940612793,-9.8217191696167,-3.9958043098449707,-6.711997985839844
-7.823206424713135,-7.3909149169921875,-5.8426361083984375,-6.671609401702881
-6.469139575958252,-5.7334160804748535,-6.8578290939331055,-6.577795505523682
-6.723258972167969,-8.39374828338623,-6.2030930519104,-7.8101959228515625
-6.537856101989746,-7.339941024780273,-5.962867736816406,-6.852689266204834
-9.206488609313965,-7.667541980743408,-6.332084655761719,-6.703338623046875
-5.0306901931762695,-4.7686967849731445,-4.532222270965576,-5.064811706542969
-8.406707763671875,-7.610415458679199,-5.605685234069824,-7.0698018074035645
-5.027158737182617,-5.362986087799072,-6.420998573303223,-7.495813846588135
-6.389078617095947,-6.937307834625244,-5.334995269775391,-6.692502975463867
-5.343396186828613,-4.1092634201049805,-5.717962265014648,-5.2919816970825195
-6.332815170288086,-5.2400712966918945,-5.159493446350098,-5.46189546585083
-7.427187442779541,-5.209261894226074,-7.811645984649658,-6.873480796813965
-6.818880081176758,-5.27095365524292,-5.816902160644531,-5.722434043884277
-7.384713172912598,-6.5126495361328125,-6.1696953773498535,-6.671677112579346
-6.365502834320068,-5.526078224182129,-5.712493896484375,-5.47394323348999
-6.766725540161133,-5.125529766082764,-5.336727619171143,-5.2175445556640625
-6.961632251739502,-6.265969753265381,-5.794887542724609,-6.038469314575195
-6.528923511505127,-7.6779069900512695,-7.260496616363525,-6.850971221923828
-5.036227226257324,-5.651658535003662,-5.748167514801025,-5.364818572998047
-5.8196516036987305,-6.79705286026001,-5.947352409362793,-5.127536296844482
-4.350583553314209,-5.581943035125732,-5.4604692459106445,-4.047300815582275
-7.612986087799072,-8.423412322998047,-7.0740065574646,-7.983368396759033
-4.819592475891113,-5.774304389953613,-6.309310436248779,-5.531333923339844
-6.156972885131836,-6.34291934967041,-7.418983459472656,-6.3336710929870605
-6.249444007873535,-5.648843288421631,-6.277304172515869,-5.702450275421143
-6.410335540771484,-6.262461185455322,-7.571114540100098,-6.209997177124023
-4.724063873291016,-7.858174800872803,-6.479203224182129,-5.675872802734375
-6.200503826141357,-6.085594654083252,-7.398502349853516,-7.537407875061035
-6.153432369232178,-7.057186603546143,-5.473232746124268,-6.964127063751221
-5.802944183349609,-7.536384582519531,-5.602595329284668,-6.104031562805176
-8.598627090454102,-7.691510200500488,-6.465731143951416,-6.091824531555176
-5.8638224601745605,-5.690978050231934,-6.648199081420898,-5.558287143707275
-5.533888816833496,-5.942811489105225,-5.985671043395996,-7.48444128036499
-5.348062038421631,-5.200174331665039,-6.7573561668396,-5.287859916687012
-5.824227809906006,-6.415927410125732,-7.030388832092285,-7.174674034118652
-7.475301742553711,-6.521102428436279,-6.7245330810546875,-4.994022846221924
-8.052411079406738,-6.1960930824279785,-6.453530311584473,-6.529877185821533
-8.397337913513184,-7.457893371582031,-6.4660868644714355,-7.597865581512451
-7.768424034118652,-5.789119720458984,-6.538815498352051,-6.224780559539795
-5.690256595611572,-7.174263954162598,-6.682036399841309,-6.040464401245117
-5.478688716888428,-7.569480895996094,-5.578690528869629,-7.890149116516113
-4.64396858215332,-7.286433696746826,-4.800772666931152,-5.0788254737854
-6.543512344360352,-7.2632222175598145,-5.617153167724609,-5.0700788497924805
-5.206191539764404,-6.005259037017822,-7.180126667022705,-7.281816482543945
-5.187420845031738,-5.109344005584717,-8.27097225189209,-6.7462029457092285
-3.839229106903076,-4.566953182220459,-4.913527965545654,-5.948118209838867
-7.183999061584473,-4.8487443923950195,-6.9750800132751465,-5.894390106201172
-4.720661163330078,-6.003920555114746,-4.018797874450684,-5.672592639923096
-8.359537124633789,-6.651083469390869,-5.755134105682373,-7.6427836418151855
-7.357038497924805,-6.9677863121032715,-7.861690521240234,-6.7536845207214355
-5.983553409576416,-6.3495378494262695,-5.301686763763428,-6.06310510635376
-7.937673091888428,-5.389190673828125,-6.3450493812561035,-5.2062788009643555
-6.370342254638672,-6.146353244781494,-6.283156871795654,-6.534794330596924
-6.546482563018799,-7.9011921882629395,-6.203372955322266,-6.547638416290283
-4.662744998931885,-5.207432746887207,-7.905284404754639,-6.5692973136901855
-6.106774806976318,-8.256429672241211,-5.382129192352295,-5.8537983894348145
-7.014525890350342,-6.337210178375244,-7.226397514343262,-6.312874794006348
-6.094338893890381,-6.9655561447143555,-6.385235786437988,-6.259298324584961
-6.274694919586182,-5.542038440704346,-4.662577152252197,-4.3759684562683105
-7.710631847381592,-6.2238078117370605,-5.0472612380981445,-6.255060195922852
-7.2497758865356445,-6.924432754516602,-6.8772969245910645,-4.9812750816345215
-5.231463432312012,-5.434678554534912,-6.68220329284668,-6.592191219329834
-7.782157897949219,-8.1041841506958,-4.775853157043457,-6.212003707885742
-6.0096893310546875,-5.692984580993652,-5.511159896850586,-5.4504714012146
-4.858109474182129,-4.9423346519470215,-6.651582717895508,-5.355580806732178
-4.757743835449219,-6.504638195037842,-6.884687900543213,-7.760997295379639
-7.892564296722412,-9.99377727508545,-6.466207504272461,-7.126217365264893
-6.278500080108643,-6.459102153778076,-6.150144100189209,-7.530414581298828
-6.731482982635498,-5.500000953674316,-7.858575820922852,-5.777318000793457
-5.3411712646484375,-4.512353420257568,-5.897510528564453,-4.849620342254639
-5.908594131469727,-5.4273600578308105,-5.994283676147461,-6.268685340881348
-5.802628040313721,-7.098953723907471,-4.1975932121276855,-4.848466873168945
-4.867361545562744,-6.792510986328125,-4.302031993865967,-6.033840179443359
-6.931651592254639,-7.341423511505127,-5.818134784698486,-6.654804229736328
-5.951712131500244,-5.743327617645264,-7.380506992340088,-5.59080696105957
-6.790454387664795,-5.470749378204346,-6.74083948135376,-5.09290075302124
-6.177049160003662,-7.4914727210998535,-8.30235767364502,-5.425919532775879
-6.6287431716918945,-6.877464294433594,-5.717084884643555,-5.4614057540893555
-6.759405612945557,-8.926485061645508,-6.490967273712158,-8.765374183654785
-6.295063495635986,-5.573818206787109,-6.127650260925293,-6.125629425048828
-6.027011871337891,-7.07623815536499,-6.174371719360352,-5.273521900177002
-4.76567268371582,-4.364631652832031,-5.2054667472839355,-5.597348690032959
-5.468940258026123,-5.449809551239014,-5.572006702423096,-5.086733341217041
-7.482974529266357,-7.373680114746094,-5.619688034057617,-6.819607257843018
-5.557781219482422,-7.031912326812744,-7.315559387207031,-7.28826379776001
-7.780114650726318,-6.185092449188232,-6.6553850173950195,-6.911717414855957
