nll_0,nll_1,nll_2,nll_3
-5.284907817840576,-8.884114265441895,-3.7131035327911377,-5.839841365814209
-5.114294528961182,-6.93686580657959,-5.176684379577637,-4.321593284606934
-4.002374649047852,-4.126668453216553,-4.234544277191162,-5.444222927093506
-4.940611839294434,-6.230710029602051,-4.616909503936768,-4.988681316375732
-4.427582740783691,-4.27873420715332,-4.998230934143066,-4.712535858154297
-7.083749771118164,-5.564537525177002,-4.774545192718506,-6.076295852661133
-3.841792345046997,-4.259159088134766,-4.192195415496826,-4.2930498123168945
-5.768469333648682,-4.8221635818481445,-4.493257999420166,-3.9939846992492676
-4.031002521514893,-3.45805025100708,-4.397650718688965,-6.189262866973877
-4.738255023956299,-6.08023738861084,-4.2291483879089355,-5.491631031036377
-3.9537882804870605,-3.5755722522735596,-5.687143802642822,-3.6948418617248535
-4.936190128326416,-5.282377243041992,-5.288633823394775,-4.604527950286865
-4.9428863525390625,-4.062061786651611,-5.670082092285156,-4.753116607666016
-5.784339904785156,-3.8856546878814697,-4.1556806564331055,-3.860511064529419
-5.421567440032959,-5.495898723602295,-4.212172508239746,-4.659001350402832
-5.411472797393799,-3.331104278564453,-4.237224102020264,-3.7187163829803467
-4.3180766105651855,-4.9000773429870605,-3.704416513442993,-3.955005645751953
-4.736996173858643,-5.0686564445495605,-4.184008598327637,-4.969776153564453
-4.581883430480957,-6.008561611175537,-5.8604817390441895,-5.679258823394775
-3.1285240650177,-3.232438325881958,-4.266515254974365,-4.040334224700928
-5.0988383293151855,-6.810464382171631,-4.630969524383545,-3.881819009780884
-3.639150857925415,-5.261218547821045,-5.904801845550537,-2.8149662017822266
-5.664158344268799,-6.539889812469482,-6.12809419631958,-5.40095329284668
-3.0384058952331543,-4.537033557891846,-4.2748565673828125,-3.2103493213653564
-5.104091167449951,-5.36309289932251,-5.851077079772949,-5.112383842468262
-4.922778606414795,-4.873837471008301,-5.055410385131836,-4.441479206085205
-4.422287940979004,-4.962732315063477,-5.302745819091797,-4.853645324707031
-3.573655843734741,-5.99616813659668,-5.211552619934082,-4.482600688934326
-4.5851850509643555,-4.238166809082031,-5.826109409332275,-4.9793243408203125
-5.328519344329834,-6.3594584465026855,-5.549203872680664,-4.782010555267334
-4.144032001495361,-5.4231109619140625,-4.104020118713379,-4.042470932006836
-6.019827365875244,-5.719357967376709,-4.7208051681518555,-4.372488975524902
-4.777060508728027,-4.105434894561768,-5.662833213806152,-4.522466659545898
-4.413408279418945,-4.126594066619873,-5.556396484375,-5.244571208953857
-4.131031513214111,-4.630384922027588,-6.289950370788574,-4.269724369049072
-3.96746826171875,-4.160523891448975,-5.894294261932373,-5.59552001953125
-6.951013565063477,-7.86673641204834,-5.415376663208008,-5.00537109375
-5.577147960662842,-5.789241313934326,-4.294980525970459,-4.882401943206787
-6.082488059997559,-4.604408264160156,-4.6246256828308105,-5.491112232208252
-6.66141414642334,-4.61338996887207,-5.195554733276367,-4.403965950012207
-3.7438125610351562,-5.0058393478393555,-4.36016321182251,-5.27886962890625
-4.18178653717041,-5.839937686920166,-4.1410112380981445,-5.184875965118408
-3.89791202545166,-6.144676685333252,-3.7047951221466064,-3.918910026550293
-4.501448631286621,-4.906524658203125,-4.108943462371826,-4.639276027679443
-4.028138160705566,-4.139593124389648,-5.4351115226745605,-5.200500011444092
-3.5186777114868164,-5.008359432220459,-8.057981491088867,-5.9648542404174805
-3.663454532623291,-3.8557095527648926,-4.492860317230225,-4.78605842590332
-4.65465784072876,-3.9570491313934326,-5.24150276184082,-4.745962142944336
-3.4017791748046875,-4.3409295082092285,-2.884748697280884,-4.591275215148926
-7.677419662475586,-5.608071804046631,-4.341655254364014,-6.527942180633545
-5.948124408721924,-5.523118019104004,-6.338827610015869,-5.728703498840332
-4.796319484710693,-4.544182300567627,-3.7112176418304443,-5.06861686706543
-6.716370582580566,-4.846819877624512,-5.007487773895264,-4.333374500274658
-3.864029884338379,-4.062443256378174,-5.048984050750732,-4.901454448699951
-4.56231689453125,-4.812832355499268,-3.840304136276245,-4.632847309112549
