nll_0,nll_1,nll_2,nll_3
-4.35177755355835,-6.51351261138916,-3.2182869911193848,-3.9438552856445312
-3.317931890487671,-4.2158331871032715,-3.19405460357666,-3.2691078186035156
-3.0686190128326416,-3.7661032676696777,-3.4322147369384766,-4.548672199249268
-4.796401023864746,-6.211155414581299,-4.201731204986572,-3.954137086868286
-4.320710182189941,-4.254642009735107,-4.130620956420898,-4.255075454711914
-5.804063320159912,-3.4863851070404053,-4.322968006134033,-5.365054607391357
-2.8747236728668213,-2.681051015853882,-2.8926398754119873,-3.254875421524048
-4.754144191741943,-4.5162272453308105,-3.8084869384765625,-3.5131726264953613
-3.401306629180908,-3.104626178741455,-3.165555477142334,-4.66578483581543
-4.217651844024658,-4.427306652069092,-3.619640827178955,-4.2755045890808105
-3.4792370796203613,-2.8759093284606934,-3.6192827224731445,-2.9567739963531494
-4.233007431030273,-3.4648797512054443,-4.862368106842041,-3.0231852531433105
-3.8460164070129395,-2.9241554737091064,-3.813176393508911,-3.2478301525115967
-3.631713390350342,-3.3290085792541504,-2.974863290786743,-3.053980588912964
-4.284766674041748,-5.298055648803711,-3.9610884189605713,-4.169729232788086
-3.882981061935425,-3.2336080074310303,-3.4351370334625244,-3.4814493656158447
-3.3796193599700928,-3.4364399909973145,-2.622960090637207,-2.2916431427001953
-3.6064884662628174,-4.129704475402832,-3.2043209075927734,-3.788296699523926
-3.833475351333618,-4.085594177246094,-4.079948425292969,-4.253620147705078
-2.8059685230255127,-2.7979376316070557,-3.277000904083252,-3.095670223236084
-3.8277597427368164,-4.74509334564209,-3.3996546268463135,-3.210333824157715
-2.6800878047943115,-4.415163040161133,-3.5452990531921387,-2.2526206970214844
-5.3545756340026855,-4.77700138092041,-4.347816467285156,-3.519932746887207
-2.5390281677246094,-3.5285372734069824,-3.0459678173065186,-2.7114241123199463
-3.7436506748199463,-3.5844337940216064,-3.9462764263153076,-3.8400495052337646
-4.035765171051025,-4.098491191864014,-4.2461371421813965,-3.664323329925537
-3.3138232231140137,-4.196249485015869,-4.244802474975586,-3.8271677494049072
-3.0379810333251953,-4.042415142059326,-3.681804895401001,-3.2495741844177246
-3.3497068881988525,-2.914659261703491,-4.439364910125732,-4.244395732879639
-3.9144718647003174,-4.917001724243164,-3.8736369609832764,-3.092149496078491
-2.669116258621216,-3.7763404846191406,-3.0180397033691406,-3.4948079586029053
-3.499542474746704,-3.1624958515167236,-3.4612061977386475,-3.1795899868011475
-4.404285907745361,-3.8123021125793457,-4.47289514541626,-4.00150728225708
-2.9878454208374023,-2.729102849960327,-3.4473326206207275,-4.00339937210083
