nll_0,nll_1,nll_2,nll_3
-4.730668544769287,-7.064353942871094,-3.8400654792785645,-5.72132682800293
-4.969629764556885,-5.320978164672852,-4.129498481750488,-4.181238651275635
-3.795307159423828,-4.305676460266113,-3.971904993057251,-4.73163366317749
-4.809872150421143,-6.263824939727783,-4.286777019500732,-4.770835876464844
-4.128514766693115,-4.189518928527832,-4.535385608673096,-4.253579139709473
-6.707356929779053,-4.727205753326416,-4.49317741394043,-5.279753684997559
-3.6462535858154297,-3.707369327545166,-3.6506001949310303,-4.282065391540527
-5.523055076599121,-5.132477283477783,-3.644986867904663,-4.0797810554504395
-4.1131272315979,-3.346824884414673,-4.272652626037598,-6.038393974304199
-4.373542308807373,-5.285073280334473,-4.093839168548584,-5.089252948760986
-4.074208736419678,-3.311295986175537,-5.001802444458008,-3.6575424671173096
-4.854472637176514,-4.2588276863098145,-5.131112575531006,-4.283844947814941
-4.560658931732178,-3.8486969470977783,-5.415175914764404,-4.798701286315918
-5.327167987823486,-3.840404987335205,-4.154691219329834,-3.5229310989379883
-5.040755748748779,-5.253503799438477,-4.440834999084473,-4.477860450744629
-5.080779552459717,-3.530238628387451,-4.285815715789795,-3.6285688877105713
-4.450997829437256,-4.393893241882324,-3.3054256439208984,-3.4605579376220703
-4.761719226837158,-5.076076984405518,-3.9024641513824463,-4.685597896575928
-4.727055072784424,-6.161940097808838,-5.797950267791748,-4.52794885635376
-3.4963574409484863,-3.412173271179199,-4.122217655181885,-4.092643737792969
-4.871851921081543,-6.428801536560059,-4.495663642883301,-3.925363063812256
-3.4050376415252686,-4.743016719818115,-4.6298394203186035,-2.9277312755584717
-4.951199531555176,-5.9584059715271,-5.692649841308594,-5.272974491119385
-3.337024688720703,-4.510880947113037,-4.13584566116333,-3.3371963500976562
-4.514030456542969,-5.145033836364746,-5.291137218475342,-4.881255626678467
-4.7980780601501465,-4.632181644439697,-4.9455647468566895,-4.244167804718018
-4.385725975036621,-5.012792587280273,-5.799349308013916,-4.631556987762451
-3.5141677856445312,-5.1345648765563965,-4.912437915802002,-4.050932884216309
-4.061493396759033,-4.157500267028809,-5.672097206115723,-4.950137138366699
-5.053065776824951,-5.940275192260742,-4.598887920379639,-4.779759883880615
-3.832921266555786,-5.132674217224121,-4.066608905792236,-4.182272434234619
-4.9234700202941895,-4.569958686828613,-4.48923921585083,-4.0215606689453125
-4.467440605163574,-4.274725914001465,-5.099295616149902,-4.427114486694336
-3.9308836460113525,-3.915679931640625,-4.723750114440918,-4.932501792907715
-4.0429205894470215,-4.158578872680664,-5.78078556060791,-3.9812357425689697
-3.8657214641571045,-4.348325729370117,-5.280733108520508,-5.101775169372559
-5.9706268310546875,-5.65989875793457,-4.847667217254639,-3.8864426612854004
-5.591115474700928,-5.803599834442139,-4.326333045959473,-4.42288064956665
-5.696040630340576,-4.599143981933594,-4.723365306854248,-5.42625093460083
-6.195335865020752,-4.321956157684326,-4.947072982788086,-4.600429058074951
-3.640566349029541,-4.755866050720215,-4.32166051864624,-4.802242279052734
-3.8701024055480957,-5.6096272468566895,-3.9742019176483154,-4.890342712402344
-3.584774971008301,-5.543735027313232,-3.494288206100464,-3.9892971515655518
-4.065001010894775,-4.99871826171875,-4.117060661315918,-4.597721576690674
