nll_0,nll_1,nll_2,nll_3
-4.333654880523682,-7.018458843231201,-2.9786624908447266,-6.157569408416748
-5.773711204528809,-5.984269618988037,-4.1740546226501465,-4.185132026672363
-3.8808863162994385,-4.985856533050537,-4.424311637878418,-5.344019889831543
-4.992104530334473,-7.225192546844482,-4.373574256896973,-5.599785327911377
-4.748160362243652,-4.917628288269043,-5.026852607727051,-4.707411766052246
-8.631376266479492,-4.922761917114258,-4.656682014465332,-5.966573238372803
-3.41650128364563,-3.3268980979919434,-3.5267298221588135,-3.9763574600219727
-5.636723518371582,-4.792087554931641,-3.490746259689331,-3.792968988418579
-4.1696648597717285,-3.160763740539551,-3.733377695083618,-6.38402795791626
-4.9590840339660645,-5.080283164978027,-4.054917812347412,-5.527953624725342
-4.1198930740356445,-3.6010799407958984,-5.323929309844971,-4.123747825622559
-5.56899881362915,-4.319645881652832,-4.8420844078063965,-4.795665740966797
-5.293783187866211,-4.1639909744262695,-6.070648670196533,-5.17966890335083
-5.514020919799805,-4.584408760070801,-3.9820096492767334,-3.623993158340454
-5.665545463562012,-5.345431804656982,-4.590762615203857,-4.88324499130249
-5.1401286125183105,-3.4926302433013916,-4.19317626953125,-3.4628829956054688
-4.829574108123779,-4.510067939758301,-3.0432987213134766,-3.8971803188323975
-4.19592809677124,-4.8388671875,-3.872314691543579,-4.294136047363281
-4.860797882080078,-5.241354465484619,-5.695380210876465,-4.949324131011963
-3.8549699783325195,-3.5688960552215576,-4.665710926055908,-4.285611152648926
-4.815291404724121,-7.1608357429504395,-4.739022731781006,-4.348693370819092
-3.774204969406128,-4.502731800079346,-5.407608509063721,-2.6055853366851807
-6.183346271514893,-6.394439220428467,-6.4350666999816895,-5.727346897125244
-4.141574382781982,-4.717527866363525,-4.40830659866333,-3.4581480026245117
-4.06626033782959,-5.214163303375244,-5.8013410568237305,-4.799286365509033
-5.050840854644775,-4.690576076507568,-4.890380382537842,-4.572762489318848
-3.7492687702178955,-5.207977771759033,-6.425859451293945,-4.733402252197266
-3.849400520324707,-5.234886646270752,-5.570096492767334,-4.537282943725586
-4.486116886138916,-4.5478034019470215,-5.5977277755737305,-5.036777973175049
-5.837233543395996,-6.4662017822265625,-4.94146203994751,-4.54703950881958
-4.269979953765869,-6.016712665557861,-4.789093971252441,-4.371010780334473
-4.840338706970215,-4.818481922149658,-4.232426166534424,-4.250786781311035
